comparison.primary;comparison.secondary
глядеть;71.0526315789474;56.8992248062016
глаз;92.1052631578947;54.7286821705426
любовь;97.3684210526316;44.1860465116279
сестра;21.0526315789474;40.9302325581395
княгиня;0;8.68217054263566
проходить;76.3157894736842;55.1937984496124
первый;50;59.3798449612403
куда;63.1578947368421;48.3720930232558
речь;81.5789473684211;58.9147286821705
находить;84.2105263157895;46.6666666666667
вдоль;31.5789473684211;47.1317829457364
б;94.7368421052632;42.9457364341085
дорожка;26.3157894736842;52.093023255814
правый;10.5263157894737;56.1240310077519
малый;13.1578947368421;47.7519379844961
через;36.8421052631579;45.1162790697674
вечер;68.4210526315789;49.4573643410853
верный;76.3157894736842;33.4883720930233
вести;39.4736842105263;42.3255813953488
пускать;42.1052631578947;42.4806201550388
удалой;55.2631578947368;55.8139534883721
синий;60.5263157894737;44.4961240310078
молодчик;39.4736842105263;49.3023255813954
ехать;50;50.8527131782946
никто;71.0526315789474;48.5271317829457
воля;78.9473684210526;34.7286821705426
когда;81.5789473684211;47.906976744186
ночевать;0;33.4883720930233
веселый;78.9473684210526;44.4961240310078
цветок;94.7368421052632;40
слово;86.8421052631579;47.7519379844961
заря;68.4210526315789;47.906976744186
тужить;52.6315789473684;44.4961240310078
нога;39.4736842105263;52.4031007751938
такой;60.5263157894737;52.8682170542636
видеть;100;45.7364341085271
око;100;42.9457364341085
хоть;76.3157894736842;46.3565891472868
дороженька;63.1578947368421;47.5968992248062
крутой;2.63157894736842;53.6434108527132
полюбить;81.5789473684211;42.015503875969
русый;89.4736842105263;39.8449612403101
ветер;97.3684210526316;43.7209302325581
коса;89.4736842105263;40.7751937984496
буйный;94.7368421052632;51.4728682170543
луг;86.8421052631579;41.8604651162791
голос;63.1578947368421;40.6201550387597
алый;73.6842105263158;48.5271317829457
бел;52.6315789473684;55.1937984496124
над;100;38.2945736434108
сизый;21.0526315789474;37.8294573643411
восходить;47.3684210526316;43.4108527131783
казак;15.7894736842105;29.922480620155
ручка;28.9473684210526;47.5968992248062
окошко;21.0526315789474;41.0852713178295
голубушка;68.4210526315789;41.3953488372093
бережок;18.4210526315789;46.9767441860465
пиво;0;32.8682170542636
ерема;0;1.55038759689922
убивать;50;31.6279069767442
ванюша;0;26.8217054263566
тело;13.1578947368421;30.2325581395349
играть;78.9473684210526;44.031007751938
сердечный;92.1052631578947;40.3100775193798
москва;39.4736842105263;43.8759689922481
для;100;33.4883720930233
частый;39.4736842105263;49.7674418604651
нести;23.6842105263158;46.8217054263566
фома;0;1.3953488372093
полно;71.0526315789474;31.6279069767442
окошечко;44.7368421052632;47.5968992248062
дуня;44.7368421052632;19.5348837209302
холостой;5.26315789473684;40
высоко;18.4210526315789;40.1550387596899
грудь;100;35.968992248062
сторонушка;68.4210526315789;36.2790697674419
бог;76.3157894736842;45.1162790697674
бросать;63.1578947368421;39.8449612403101
мочь;97.3684210526316;41.2403100775194
скоро;97.3684210526316;44.4961240310078
