comparison.primary;comparison.secondary
младенький;0;7.75193798449612
мостик;5.26315789473684;6.2015503875969
напевать;5.26315789473684;5.58139534883721
напрядать;0;4.34108527131783
обливаться;21.0526315789474;7.90697674418605
отгадывать;10.5263157894737;3.10077519379845
палатушка;0;5.73643410852713
панье;0;3.25581395348837
перенимать;0;3.87596899224806
посередь;0;7.90697674418605
почему;5.26315789473684;8.37209302325581
праздничек;0;5.11627906976744
проклятый;0;8.21705426356589
разве;5.26315789473684;8.06201550387597
разумный;10.5263157894737;8.06201550387597
ранешенько;0;8.9922480620155
расстилаться;10.5263157894737;7.75193798449612
сгорать;5.26315789473684;3.56589147286822
слободка;7.89473684210526;7.5968992248062
случилось;0;6.66666666666667
старость;18.4210526315789;4.34108527131783
талан;10.5263157894737;3.25581395348837
уточка;0;5.89147286821705
фалелеевна;0;0.465116279069767
хвала;0;6.97674418604651
хозяйка;5.26315789473684;6.51162790697674
шеюшка;0;8.06201550387597
шибко;0;6.66666666666667
бурлак;0;6.2015503875969
ветерок;44.7368421052632;5.27131782945736
вечно;42.1052631578947;6.66666666666667
возрыдать;5.26315789473684;7.44186046511628
восход;5.26315789473684;6.82170542635659
горючми;0;7.5968992248062
гудок;5.26315789473684;4.96124031007752
двадцать;5.26315789473684;8.52713178294574
забава;7.89473684210526;7.44186046511628
зажигать;23.6842105263158;5.89147286821705
закон;10.5263157894737;4.8062015503876
заснуть;21.0526315789474;4.8062015503876
захотеться;5.26315789473684;6.35658914728682
избывать;15.7894736842105;4.65116279069767
корешок;5.26315789473684;4.96124031007752
кроваточка;0;7.13178294573643
лад;26.3157894736842;4.34108527131783
литва;0;2.7906976744186
мастер;0;6.35658914728682
пашня;0;3.87596899224806
перчаточка;0;6.66666666666667
подводить;0;7.13178294573643
подворье;0;7.28682170542636
подруга;50;4.49612403100775
ползти;0;2.17054263565891
полка;0;7.13178294573643
порог;5.26315789473684;5.58139534883721
пуговка;0;5.73643410852713
пытать;0;6.97674418604651
развеселый;0;8.68217054263566
распрощаться;23.6842105263158;6.82170542635659
рассевать;2.63157894736842;7.75193798449612
репей;0;1.24031007751938
родить;0;7.75193798449612
сизокрылый;47.3684210526316;4.8062015503876
сулить;5.26315789473684;4.8062015503876
улыбаться;50;4.18604651162791
уронить;10.5263157894737;6.04651162790698
целовальник;0;5.42635658914729
чего;0;7.75193798449612
черемушка;0;3.87596899224806
черкасский;0;7.5968992248062
шутить;0;6.66666666666667
анна;0;4.8062015503876
астрахань;0;6.2015503875969
бледный;44.7368421052632;4.8062015503876
васильевна;0;5.42635658914729
верба;0;3.10077519379845
ветка;39.4736842105263;4.49612403100775
взор;76.3157894736842;2.17054263565891
виноватый;5.26315789473684;6.97674418604651
воротить;5.26315789473684;7.5968992248062
восставать;7.89473684210526;2.63565891472868
гробница;0;3.72093023255814
грош;0;6.51162790697674
грустить;71.0526315789474;2.94573643410853
даль;34.2105263157895;2.94573643410853
дарья;0;3.56589147286822
дита;0;5.11627906976744
дожидать;0;8.52713178294574
дух;21.0526315789474;5.42635658914729
жемчужный;0;6.51162790697674
зазнобить;15.7894736842105;3.72093023255814
затапливать;21.0526315789474;5.27131782945736
заюшка;0;1.86046511627907
звонить;0;5.11627906976744
зимний;44.7368421052632;3.25581395348837
златой;31.5789473684211;6.2015503875969
камзол;0;3.72093023255814
ключик;0;6.2015503875969
колотить;0;5.89147286821705
коротать;5.26315789473684;6.2015503875969
корчма;0;1.08527131782946
котор;10.5263157894737;7.44186046511628
кузница;0;3.41085271317829
луч;52.6315789473684;2.63565891472868
люба;0;4.18604651162791
нападать;10.5263157894737;5.42635658914729
отнимать;10.5263157894737;4.65116279069767
параша;0;2.17054263565891
победный;26.3157894736842;5.58139534883721
подуть;10.5263157894737;4.8062015503876
потоплять;0;5.11627906976744
проехать;10.5263157894737;7.90697674418605
руда;0;7.28682170542636
ручушка;0;8.68217054263566
своего;0;6.04651162790698
середа;0;6.04651162790698
словеса;0;7.44186046511628
случай;0;6.97674418604651
смачивать;10.5263157894737;4.8062015503876
сова;0;4.03100775193798
соловушка;15.7894736842105;5.73643410852713
спесивый;0;6.04651162790698
сынок;0;6.66666666666667
топнуть;0;5.27131782945736
торный;5.26315789473684;5.27131782945736
тридцать;0;6.2015503875969
узор;5.26315789473684;3.87596899224806
шаль;0;6.04651162790698
армия;10.5263157894737;6.66666666666667
барабан;0;6.04651162790698
беречь;23.6842105263158;4.49612403100775
божиться;5.26315789473684;5.42635658914729
боюся;0;6.97674418604651
верея;0;4.65116279069767
восточный;0;7.90697674418605
вперед;10.5263157894737;7.44186046511628
вымывать;5.26315789473684;4.03100775193798
глубоко;26.3157894736842;5.11627906976744
годок;5.26315789473684;7.28682170542636
деваться;28.9473684210526;6.2015503875969
девонюшка;0;6.51162790697674
девченка;0;6.66666666666667
дождик;5.26315789473684;7.90697674418605
замок;10.5263157894737;6.04651162790698
косой;5.26315789473684;6.66666666666667
красотка;28.9473684210526;6.51162790697674
куница;5.26315789473684;6.51162790697674
леса;5.26315789473684;5.73643410852713
лунек;0;0.775193798449612
мятелица;0;4.18604651162791
наезжать;0;6.04651162790698
напасть;5.26315789473684;5.89147286821705
напрасно;31.5789473684211;6.35658914728682
обещаться;0;5.89147286821705
обычай;10.5263157894737;6.66666666666667
перемена;0;5.73643410852713
петербург;0;5.27131782945736
петух;0;3.87596899224806
плата;13.1578947368421;6.35658914728682
повертываться;0;5.58139534883721
повысушивать;0;3.56589147286822
полтораста;0;6.2015503875969
потчивать;0;5.73643410852713
придумывать;15.7894736842105;4.49612403100775
примечать;10.5263157894737;6.97674418604651
распевать;44.7368421052632;6.04651162790698
рюмочка;0;5.27131782945736
сальный;0;5.58139534883721
саратовский;0;7.90697674418605
свекровка;0;4.49612403100775
слать;0;6.82170542635659
смело;15.7894736842105;6.97674418604651
солдатка;0;5.58139534883721
состроить;0;6.97674418604651
спокидать;0;5.11627906976744
спорождать;0;5.11627906976744
сукно;0;6.51162790697674
творить;10.5263157894737;6.82170542635659
тросточка;0;4.65116279069767
хоша;0;6.97674418604651
часы;10.5263157894737;6.82170542635659
черт;0;4.96124031007752
читать;5.26315789473684;6.2015503875969
башмак;0;6.51162790697674
бессчастный;5.26315789473684;5.89147286821705
браниться;0;7.13178294573643
вовсе;23.6842105263158;6.35658914728682
воевать;0;5.89147286821705
возить;0;6.97674418604651
вото;0;0.930232558139535
всего;0;7.44186046511628
вчера;44.7368421052632;3.25581395348837
грива;0;3.87596899224806
запой;0;5.89147286821705
зимушка;0;6.35658914728682
изорвать;0;6.82170542635659
испивать;0;5.11627906976744
казачий;0;4.96124031007752
корабличка;0;4.65116279069767
кофей;0;6.51162790697674
крайний;0;4.8062015503876
крестьянский;10.5263157894737;4.34108527131783
курица;0;5.27131782945736
лишаться;21.0526315789474;6.66666666666667
марьюшка;0;6.51162790697674
матка;0;6.35658914728682
мочить;0;4.96124031007752
неверный;68.4210526315789;3.72093023255814
невод;0;5.89147286821705
неравно;0;3.56589147286822
нигде;26.3157894736842;6.04651162790698
нужда;18.4210526315789;6.51162790697674
перевозить;0;4.34108527131783
перекладина;15.7894736842105;3.87596899224806
платить;31.5789473684211;4.96124031007752
повести;0;7.13178294573643
подушка;0;5.89147286821705
поискать;10.5263157894737;4.34108527131783
помнить;57.8947368421053;5.11627906976744
поносить;0;7.75193798449612
равный;10.5263157894737;4.65116279069767
расканалья;0;6.04651162790698
сердечушка;0;7.44186046511628
слезми;0;7.13178294573643
спокой;0;6.35658914728682
спрашиваться;13.1578947368421;5.42635658914729
средь;44.7368421052632;4.8062015503876
станавливать;0;7.13178294573643
тальянский;0;6.2015503875969
убираться;5.26315789473684;7.75193798449612
увиваться;23.6842105263158;5.42635658914729
узел;0;3.41085271317829
хмелюшка;0;3.41085271317829
цепочка;0;5.73643410852713
чебот;0;4.18604651162791
чуять;23.6842105263158;5.58139534883721
щемить;10.5263157894737;5.42635658914729
ямщик;31.5789473684211;4.8062015503876
белокаменный;5.26315789473684;7.13178294573643
бояр;0;4.49612403100775
бушевать;44.7368421052632;4.65116279069767
верста;0;4.8062015503876
воровать;0;3.72093023255814
воротечка;0;6.2015503875969
вспаивать;2.63157894736842;6.04651162790698
вызывать;10.5263157894737;5.11627906976744
выносить;0;6.35658914728682
гостинец;0;6.51162790697674
гуселец;0;4.49612403100775
дубина;0;4.65116279069767
духовный;0;4.96124031007752
душка;0;4.03100775193798
женка;0;5.27131782945736
забавлять;10.5263157894737;6.97674418604651
забота;15.7894736842105;5.58139534883721
заливать;23.6842105263158;6.97674418604651
звонко;23.6842105263158;4.49612403100775
злата;26.3157894736842;5.89147286821705
истина;5.26315789473684;3.56589147286822
исходить;0;5.89147286821705
караул;0;4.8062015503876
катать;5.26315789473684;4.34108527131783
коляска;0;5.89147286821705
корень;0;5.89147286821705
легко;23.6842105263158;6.35658914728682
матрос;0;3.72093023255814
местечко;0;5.58139534883721
миноваться;23.6842105263158;6.35658914728682
молодежь;0;3.87596899224806
накрывать;5.26315789473684;6.35658914728682
наставать;42.1052631578947;4.18604651162791
небольшой;0;6.35658914728682
невесело;10.5263157894737;3.72093023255814
невольничка;0;2.01550387596899
неделька;0;6.51162790697674
осердиться;0;5.89147286821705
оттого;10.5263157894737;6.2015503875969
перемениться;0;6.04651162790698
перстенек;0;6.51162790697674
погибать;57.8947368421053;3.72093023255814
поднос;0;4.34108527131783
помиловать;0;7.44186046511628
послушаться;5.26315789473684;6.51162790697674
примета;5.26315789473684;5.58139534883721
разлучница;7.89473684210526;6.2015503875969
рваться;28.9473684210526;4.65116279069767
родные;42.1052631578947;5.42635658914729
сколь;0;5.89147286821705
словечушко;0;7.90697674418605
служанка;0;2.94573643410853
слыть;7.89473684210526;6.82170542635659
солома;2.63157894736842;6.2015503875969
стелить;0;5.27131782945736
татьянушка;0;2.01550387596899
торопиться;15.7894736842105;5.73643410852713
хватать;0;7.28682170542636
хоронить;0;3.87596899224806
чужбина;71.0526315789474;1.70542635658915
алешенька;0;4.65116279069767
буде;0;5.27131782945736
веселить;31.5789473684211;6.2015503875969
вечерок;44.7368421052632;4.65116279069767
взлюбить;5.26315789473684;4.96124031007752
встречаться;50;3.87596899224806
годиться;5.26315789473684;5.27131782945736
денежка;0;5.42635658914729
добывать;5.26315789473684;4.96124031007752
дородный;0;6.2015503875969
зуб;0;7.44186046511628
иванович;0;5.58139534883721
испугаться;5.26315789473684;7.28682170542636
кабацкий;0;3.56589147286822
казанок;0;4.03100775193798
камер;0;0.775193798449612
медведь;0;3.72093023255814
милость;0;6.51162790697674
муха;0;1.70542635658915
нагуляться;0;6.35658914728682
неделюшка;0;7.13178294573643
немогать;0;4.18604651162791
оба;5.26315789473684;4.34108527131783
охотничок;0;4.65116279069767
петербургский;0;6.97674418604651
плетень;0;3.10077519379845
повезти;0;6.2015503875969
полотенце;10.5263157894737;5.58139534883721
пономарь;0;4.18604651162791
походить;0;6.82170542635659
прибегать;5.26315789473684;6.04651162790698
промежду;0;6.97674418604651
прострелить;10.5263157894737;4.96124031007752
пух;10.5263157894737;3.72093023255814
работушка;0;7.13178294573643
разцветать;0;6.66666666666667
родня;10.5263157894737;5.42635658914729
ронять;5.26315789473684;6.2015503875969
рости;0;4.03100775193798
сгубить;36.8421052631579;4.65116279069767
синить;5.26315789473684;6.35658914728682
скляница;0;4.34108527131783
скончаться;0;5.73643410852713
сладку;0;3.87596899224806
слободушка;15.7894736842105;6.51162790697674
сокрушаться;7.89473684210526;6.66666666666667
стружка;5.26315789473684;4.65116279069767
сухой;10.5263157894737;6.35658914728682
тихо;44.7368421052632;3.56589147286822
торговый;10.5263157894737;4.8062015503876
угрюмый;0;2.94573643410853
хворать;0;4.96124031007752
хмельной;0;5.42635658914729
черничка;0;2.17054263565891
ясно;34.2105263157895;3.72093023255814
астраханский;0;4.18604651162791
баран;0;1.86046511627907
ближний;0;6.66666666666667
боле;31.5789473684211;4.96124031007752
воз;0;2.17054263565891
воробушек;10.5263157894737;3.25581395348837
всходить;10.5263157894737;4.18604651162791
выкармливать;5.26315789473684;0.465116279069767
выплывать;5.26315789473684;5.73643410852713
горох;0;2.01550387596899
господь;5.26315789473684;6.2015503875969
гостинный;0;3.87596899224806
денек;2.63157894736842;7.5968992248062
диковинка;0;3.25581395348837
животок;0;3.87596899224806
жонушка;0;2.01550387596899
изводить;34.2105263157895;3.41085271317829
извощичок;0;4.34108527131783
изюм;0;5.27131782945736
кален;0;2.94573643410853
каналья;0;6.66666666666667
колечушко;0;6.82170542635659
конюх;0;3.72093023255814
кругом;21.0526315789474;6.35658914728682
купеческа;0;3.25581395348837
липова;0;2.63565891472868
лопата;0;5.58139534883721
любой;5.26315789473684;5.89147286821705
меж;21.0526315789474;6.2015503875969
мести;5.26315789473684;6.35658914728682
могилушка;10.5263157894737;4.49612403100775
наряжаться;10.5263157894737;5.58139534883721
некуда;0;3.25581395348837
нерадостный;15.7894736842105;4.18604651162791
несчастливый;15.7894736842105;5.89147286821705
обоз;0;3.41085271317829
объявлять;5.26315789473684;6.66666666666667
относить;23.6842105263158;4.18604651162791
очески;0;1.24031007751938
пивцо;0;6.04651162790698
пити;0;4.8062015503876
поблекнуть;44.7368421052632;3.87596899224806
подбегать;0;6.51162790697674
подхватывать;5.26315789473684;6.66666666666667
полоса;0;4.34108527131783
полюшко;0;7.44186046511628
поля;0;6.2015503875969
приятный;36.8421052631579;4.49612403100775
пропеть;18.4210526315789;2.94573643410853
просвещать;0;4.49612403100775
просьба;0;2.48062015503876
проявляться;0;7.13178294573643
раздевать;0;5.11627906976744
сват;5.26315789473684;5.42635658914729
сержант;0;5.11627906976744
сивый;0;4.96124031007752
скидывать;10.5263157894737;7.13178294573643
скрывать;42.1052631578947;3.10077519379845
смертный;34.2105263157895;3.72093023255814
соловеюшко;7.89473684210526;5.42635658914729
солод;0;5.11627906976744
убегать;26.3157894736842;4.03100775193798
удаленький;5.26315789473684;6.35658914728682
утеха;26.3157894736842;6.04651162790698
утопать;13.1578947368421;4.65116279069767
шитый;5.26315789473684;4.18604651162791
бой;42.1052631578947;3.25581395348837
бумага;0;5.58139534883721
быдто;0;3.25581395348837
вернуться;21.0526315789474;3.25581395348837
выбегать;15.7894736842105;4.8062015503876
выезжать;15.7894736842105;6.35658914728682
глянуть;0;5.58139534883721
гневаться;0;4.96124031007752
гнуться;15.7894736842105;4.18604651162791
гроза;36.8421052631579;3.87596899224806
гудочек;0;3.25581395348837
дворянский;0;5.89147286821705
заставать;10.5263157894737;4.96124031007752
изголовьице;0;6.82170542635659
княжна;0;1.24031007751938
коза;0;4.03100775193798
колясочка;0;4.8062015503876
кот;0;5.42635658914729
круглолицый;10.5263157894737;6.2015503875969
круглый;21.0526315789474;4.96124031007752
курган;0;5.73643410852713
майор;0;3.72093023255814
негде;10.5263157894737;4.34108527131783
неправда;0;6.04651162790698
нижний;10.5263157894737;5.11627906976744
нитка;0;4.96124031007752
перелетывать;5.26315789473684;4.49612403100775
подол;0;6.2015503875969
половина;0;6.82170542635659
понимать;36.8421052631579;3.87596899224806
поплакать;7.89473684210526;4.18604651162791
пороша;0;3.41085271317829
потужить;18.4210526315789;4.65116279069767
признавать;5.26315789473684;3.72093023255814
приятель;10.5263157894737;6.35658914728682
просо;0;1.70542635658915
проторять;0;5.89147286821705
пуще;10.5263157894737;6.2015503875969
пятница;0;4.03100775193798
разбессовестный;0;4.34108527131783
разбестия;0;6.2015503875969
разбирать;7.89473684210526;5.58139534883721
разводить;0;6.35658914728682
родим;0;5.27131782945736
рыночка;0;5.89147286821705
середний;0;5.27131782945736
сноп;15.7894736842105;3.25581395348837
созывать;10.5263157894737;4.65116279069767
соловушко;26.3157894736842;4.8062015503876
спальня;0;5.73643410852713
старица;0;2.17054263565891
стлаться;0;5.58139534883721
столбовой;15.7894736842105;6.2015503875969
строй;5.26315789473684;3.87596899224806
ступень;0;3.56589147286822
танцевать;0;4.8062015503876
танюшка;5.26315789473684;4.65116279069767
толстый;0;6.04651162790698
торить;0;5.27131782945736
трактир;0;6.66666666666667
тяжкий;42.1052631578947;2.7906976744186
уверять;18.4210526315789;4.49612403100775
униматься;10.5263157894737;5.89147286821705
утроба;5.26315789473684;1.24031007751938
фата;21.0526315789474;3.10077519379845
хвалиться;10.5263157894737;4.34108527131783
черпать;5.26315789473684;4.03100775193798
шуточка;0;6.04651162790698
эй;10.5263157894737;4.18604651162791
барский;5.26315789473684;5.11627906976744
бесталанный;36.8421052631579;2.7906976744186
больша;0;5.11627906976744
везде;5.26315789473684;6.35658914728682
ветерочек;21.0526315789474;5.27131782945736
взвеселять;5.26315789473684;6.2015503875969
взмаливаться;0;6.04651162790698
видаться;18.4210526315789;5.58139534883721
вступать;0;5.11627906976744
даваться;5.26315789473684;6.2015503875969
деревцо;0;4.96124031007752
долг;0;5.73643410852713
закупати;0;1.86046511627907
заряжать;0;6.35658914728682
звонкий;21.0526315789474;5.11627906976744
игуменья;0;2.32558139534884
ида;0;4.96124031007752
коль;57.8947368421053;2.17054263565891
крута;0;4.18604651162791
ларец;0;5.27131782945736
лед;21.0526315789474;3.56589147286822
маков;18.4210526315789;4.34108527131783
милешенький;0;6.35658914728682
наделять;0;3.25581395348837
наплакаться;18.4210526315789;4.65116279069767
неужели;26.3157894736842;0.930232558139535
никак;44.7368421052632;3.41085271317829
носиться;36.8421052631579;2.63565891472868
отдыхать;31.5789473684211;3.72093023255814
перевощик;0;2.63565891472868
петля;10.5263157894737;3.72093023255814
плохо;10.5263157894737;5.58139534883721
поглядывать;0;6.2015503875969
подламываться;0;5.27131782945736
полтора;0;6.04651162790698
похмелье;0;4.18604651162791
притаптывать;10.5263157894737;6.66666666666667
приуныть;0;4.49612403100775
проситься;15.7894736842105;5.73643410852713
прямо;5.26315789473684;6.04651162790698
пшеница;5.26315789473684;5.42635658914729
размахнуть;0;6.35658914728682
раненько;0;5.89147286821705
рота;0;2.7906976744186
смородинка;0;3.25581395348837
согнать;5.26315789473684;4.34108527131783
соха;10.5263157894737;4.49612403100775
спешить;47.3684210526316;4.03100775193798
спинушка;0;5.42635658914729
стаканчик;0;4.18604651162791
стекло;0;6.51162790697674
страна;42.1052631578947;3.56589147286822
страшный;39.4736842105263;3.56589147286822
сундук;0;5.73643410852713
ся;0;5.27131782945736
терзать;13.1578947368421;3.10077519379845
тошнехонько;0;6.97674418604651
увезти;5.26315789473684;4.18604651162791
усмехаться;15.7894736842105;5.42635658914729
цена;5.26315789473684;4.34108527131783
авдотья;0;4.8062015503876
атаманушка;0;2.32558139534884
атлас;0;5.58139534883721
босу;0;4.34108527131783
бряк;0;3.72093023255814
веселешенький;0;5.27131782945736
взирать;0;5.42635658914729
воспоить;0;3.56589147286822
воспомянуть;0;3.72093023255814
враг;65.7894736842105;1.24031007751938
вчерашний;0;5.42635658914729
гнев;5.26315789473684;4.03100775193798
грозить;5.26315789473684;5.58139534883721
делить;26.3157894736842;4.18604651162791
драть;0;5.27131782945736
жонка;0;3.41085271317829
заветный;81.5789473684211;0.310077519379845
заплатить;10.5263157894737;6.2015503875969
засыхать;21.0526315789474;5.73643410852713
катить;0;4.03100775193798
катюшенька;0;4.18604651162791
квартирушка;0;4.65116279069767
кисейный;0;4.49612403100775
мамка;0;2.32558139534884
метать;10.5263157894737;6.2015503875969
молотить;5.26315789473684;4.03100775193798
мочься;0;4.34108527131783
наводить;10.5263157894737;5.58139534883721
надеяться;5.26315789473684;2.63565891472868
найм;0;5.73643410852713
налагать;5.26315789473684;4.65116279069767
налетать;18.4210526315789;4.34108527131783
наливчатый;0;2.17054263565891
нрав;21.0526315789474;3.72093023255814
нянюшка;0;4.65116279069767
отводить;0;5.42635658914729
отецкий;0;5.42635658914729
парча;5.26315789473684;6.2015503875969
подождать;0;5.42635658914729
поздороваться;10.5263157894737;4.03100775193798
покоряться;13.1578947368421;3.56589147286822
помахивать;0;4.18604651162791
привет;21.0526315789474;4.49612403100775
приминать;0;4.49612403100775
прогневать;0;5.11627906976744
расплетать;18.4210526315789;4.65116279069767
решетчатый;0;5.11627906976744
рябой;0;4.96124031007752
сберегать;0;4.34108527131783
сердиться;7.89473684210526;6.2015503875969
сережка;0;4.03100775193798
скамеечка;0;3.56589147286822
скочить;0;5.11627906976744
скрипочка;0;6.04651162790698
слагать;31.5789473684211;4.34108527131783
совесть;15.7894736842105;5.58139534883721
совивать;0;3.87596899224806
спокаяться;5.26315789473684;3.56589147286822
сыпать;15.7894736842105;5.11627906976744
точно;23.6842105263158;5.27131782945736
тяжко;21.0526315789474;4.18604651162791
убор;0;4.96124031007752
указывать;0;4.49612403100775
чобот;0;3.87596899224806
чудный;15.7894736842105;4.03100775193798
щеголь;10.5263157894737;2.48062015503876
акулина;0;2.7906976744186
бережочек;0;6.66666666666667
вековать;15.7894736842105;2.7906976744186
взрадоваться;0;4.34108527131783
вкладывать;18.4210526315789;3.25581395348837
воздух;34.2105263157895;4.03100775193798
возмолилася;0;2.7906976744186
воробышек;0;2.7906976744186
горелка;0;3.56589147286822
грянуть;0;5.27131782945736
густой;15.7894736842105;5.11627906976744
думати;0;3.41085271317829
живучий;0;5.58139534883721
забавляться;10.5263157894737;6.04651162790698
заметать;5.26315789473684;4.18604651162791
зашуметь;18.4210526315789;5.58139534883721
злосчастный;21.0526315789474;4.8062015503876
изголовье;10.5263157894737;4.96124031007752
камка;0;3.56589147286822
капитан;0;4.96124031007752
квартира;5.26315789473684;4.18604651162791
ладо;5.26315789473684;3.41085271317829
листик;0;4.96124031007752
малое;0;4.96124031007752
медведица;0;1.3953488372093
мелко;0;3.25581395348837
метелица;52.6315789473684;1.86046511627907
мутить;0;5.27131782945736
настенька;21.0526315789474;2.7906976744186
находиться;0;6.35658914728682
недолго;5.26315789473684;3.41085271317829
нехороший;0;6.51162790697674
обливать;10.5263157894737;4.8062015503876
отколь;0;4.96124031007752
петр;0;4.65116279069767
плакатить;0;5.11627906976744
полог;0;4.49612403100775
полон;5.26315789473684;3.87596899224806
пошутить;10.5263157894737;5.42635658914729
приказ;0;4.8062015503876
применять;0;0.62015503875969
променивать;21.0526315789474;3.56589147286822
пятнадцать;5.26315789473684;6.35658914728682
размилый;5.26315789473684;5.11627906976744
робить;0;4.03100775193798
рыло;0;3.10077519379845
сватать;21.0526315789474;4.34108527131783
свечка;15.7894736842105;3.72093023255814
себе;10.5263157894737;5.58139534883721
сие;0;5.89147286821705
состарить;0;2.32558139534884
столько;0;5.42635658914729
струя;36.8421052631579;3.10077519379845
субота;0;3.72093023255814
темненький;0;5.58139534883721
троечка;0;2.17054263565891
узелочек;0;2.7906976744186
указ;0;5.89147286821705
холод;55.2631578947368;3.10077519379845
хома;0;0.465116279069767
царевич;0;1.70542635658915
черкесский;10.5263157894737;4.18604651162791
чеснок;0;3.87596899224806
штаны;0;3.25581395348837
яблонья;0;5.11627906976744
ясмен;0;2.63565891472868
батька;0;4.18604651162791
близь;0;4.96124031007752
борона;0;4.49612403100775
бумажный;0;6.2015503875969
буря;50;2.48062015503876
валяться;0;5.42635658914729
винный;0;1.70542635658915
ворот;0;4.96124031007752
восклицать;0;4.18604651162791
врозь;28.9473684210526;3.72093023255814
выливать;0;2.32558139534884
выше;0;3.87596899224806
вьюн;0;1.3953488372093
гладкий;23.6842105263158;4.65116279069767
глядючи;0;4.34108527131783
гостиный;0;3.87596899224806
девяносто;0;5.11627906976744
довольно;13.1578947368421;5.42635658914729
женися;0;3.10077519379845
задний;0;5.73643410852713
залетать;26.3157894736842;4.18604651162791
замирать;18.4210526315789;4.49612403100775
заутреня;0;3.87596899224806
знаться;5.26315789473684;5.11627906976744
золоченый;5.26315789473684;5.73643410852713
клясться;31.5789473684211;3.72093023255814
кружок;5.26315789473684;4.96124031007752
леночка;0;1.08527131782946
маленька;0;5.73643410852713
мамушка;0;4.18604651162791
молчать;28.9473684210526;3.87596899224806
наряжать;10.5263157894737;6.04651162790698
недруг;31.5789473684211;3.72093023255814
осинничек;0;3.72093023255814
откликаться;23.6842105263158;2.48062015503876
передо;5.26315789473684;3.72093023255814
пила;0;4.18604651162791
побои;0;4.65116279069767
побуживать;0;4.96124031007752
покупка;0;1.24031007751938
поломать;0;4.8062015503876
полуштоф;0;6.04651162790698
помириться;0;4.8062015503876
поперек;0;6.35658914728682
поплыть;0;5.11627906976744
потом;15.7894736842105;4.18604651162791
проведывать;0;4.03100775193798
прокладывать;0;4.65116279069767
разцвести;0;4.96124031007752
раный;0;5.11627906976744
расс;0;2.7906976744186
расступаться;36.8421052631579;2.94573643410853
расхороший;0;4.8062015503876
скамья;0;2.48062015503876
слезьмить;0;4.8062015503876
сорывать;0;4.49612403100775
стерпеть;5.26315789473684;5.11627906976744
столь;0;3.41085271317829
таракан;0;4.65116279069767
темна;0;5.27131782945736
тетка;0;3.56589147286822
топор;5.26315789473684;4.03100775193798
травник;0;0.930232558139535
хоросить;0;3.25581395348837
цепь;5.26315789473684;3.72093023255814
широк;0;5.27131782945736
шляпушка;0;3.41085271317829
яик;0;1.55038759689922
авдотьюшка;0;5.11627906976744
авось;5.26315789473684;4.49612403100775
бабища;0;0.775193798449612
белеться;0;3.41085271317829
величество;0;1.55038759689922
весьма;0;4.96124031007752
вплоть;0;5.11627906976744
вынести;0;3.10077519379845
глазок;21.0526315789474;4.34108527131783
глухой;28.9473684210526;3.25581395348837
голицын;0;1.70542635658915
град;18.4210526315789;5.42635658914729
гриб;0;3.87596899224806
дрожать;50;3.25581395348837
жарко;15.7894736842105;4.49612403100775
жеребей;0;3.56589147286822
завянуть;31.5789473684211;3.72093023255814
зазноба;7.89473684210526;3.10077519379845
закуска;0;6.2015503875969
зарастать;0;5.11627906976744
казнить;0;4.65116279069767
калачик;0;5.42635658914729
квашня;0;4.18604651162791
клеточка;21.0526315789474;2.48062015503876
конюшенка;0;4.18604651162791
кралечка;0;5.58139534883721
крушиться;23.6842105263158;3.87596899224806
кутить;0;4.8062015503876
лазорев;5.26315789473684;5.42635658914729
ласка;39.4736842105263;2.01550387596899
лукавый;5.26315789473684;5.27131782945736
любоваться;42.1052631578947;2.63565891472868
младость;34.2105263157895;3.41085271317829
младый;0;2.63565891472868
мята;0;3.41085271317829
наряд;31.5789473684211;2.63565891472868
незваный;23.6842105263158;2.48062015503876
носити;0;4.49612403100775
одиночество;28.9473684210526;3.25581395348837
останавливаться;0;4.65116279069767
память;39.4736842105263;3.72093023255814
паша;0;2.7906976744186
поляк;0;1.70542635658915
помощь;7.89473684210526;4.03100775193798
постригаться;0;2.17054263565891
приколачивать;0;1.3953488372093
проигрывать;0;5.11627906976744
пропускать;2.63157894736842;4.96124031007752
раздольице;0;5.73643410852713
ровный;0;5.27131782945736
румяна;5.26315789473684;4.8062015503876
рюмка;0;6.04651162790698
сегодня;13.1578947368421;4.18604651162791
синь;0;4.18604651162791
соловушек;10.5263157894737;5.42635658914729
спаленка;0;4.18604651162791
спасение;0;2.94573643410853
ссылать;0;5.11627906976744
становилася;0;4.8062015503876
страсть;34.2105263157895;4.34108527131783
строить;0;5.11627906976744
суд;23.6842105263158;4.18604651162791
съездить;0;3.10077519379845
табак;0;3.87596899224806
така;0;5.11627906976744
тещенька;0;2.17054263565891
толпа;10.5263157894737;3.41085271317829
угощать;10.5263157894737;4.8062015503876
хвастать;0;4.18604651162791
хоромушка;0;0.775193798449612
шейка;21.0526315789474;4.18604651162791
яикушка;0;1.24031007751938
близ;31.5789473684211;3.41085271317829
борис;0;1.08527131782946
бочка;0;5.58139534883721
бражка;0;2.63565891472868
вдовина;0;2.7906976744186
вося;0;0.930232558139535
девий;0;4.18604651162791
димитрий;0;0.465116279069767
дородня;0;2.01550387596899
дородство;0;4.34108527131783
дуга;2.63157894736842;3.87596899224806
женитьба;0;2.48062015503876
забегать;0;3.41085271317829
