"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREYEVSKY_1" "KIREYEVSKY_2" "KIREYEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_FULL_1" "SOBOLEVSKY_FULL_2" "SOBOLEVSKY_FULL_3"
"чорт" 0.03 0.09 0.05 0 0 0 0 0 0 0 0 0.01 0 0 0 0.04 0 0.01
"шуба" 0.02 0.01 0.04 0.02 0.03 0.03 0 0 0 0 0 0 0 0.01 0 0.01 0.04 0.02
"баять" 0.02 0.01 0.01 0.04 0.03 0.01 0.03 0 0.01 0 0.01 0.01 0 0 0 0.01 0.01 0.02
"взгляд" 0 0 0 0 0.01 0 0.01 0.01 0.01 0.01 0.03 0.06 0.02 0.02 0.02 0.02 0 0
"вольный" 0.03 0.02 0.01 0 0.02 0.02 0 0 0 0.04 0 0.01 0 0.03 0.02 0 0.01 0.01
"ворковать" 0.04 0.03 0.06 0.01 0 0 0.01 0.01 0 0 0 0 0.01 0.01 0.01 0.01 0.02 0
"входить" 0.01 0 0.01 0.02 0.01 0 0.01 0.02 0.02 0.02 0.03 0.02 0 0.01 0 0.02 0 0.02
"глава" 0 0 0 0.01 0 0 0 0 0 0.05 0.08 0.03 0.02 0 0.02 0.01 0 0
"глупый" 0.01 0.02 0.02 0.04 0.01 0.03 0 0 0 0.01 0 0.01 0 0 0 0.01 0.03 0.03
"горюшко" 0.04 0.04 0.03 0.03 0.02 0 0 0 0 0 0 0 0.01 0 0.01 0 0.03 0.01
"гостья" 0.04 0.05 0.05 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0.01 0.01 0.02
"государев" 0 0.01 0.01 0.01 0 0.05 0.02 0.01 0.03 0 0 0 0 0 0 0.04 0.02 0.02
"дар" 0 0 0 0 0 0 0.01 0 0 0 0.04 0.12 0.01 0.01 0.01 0.01 0.01 0
"дождаться" 0 0 0 0 0.04 0.02 0.01 0.01 0.01 0 0 0.01 0.04 0.05 0.01 0.01 0.01 0
"женатый" 0 0 0 0.03 0.03 0.08 0.01 0 0 0 0 0.01 0 0.01 0 0 0.02 0.03
"жених" 0 0 0.01 0.01 0.01 0.02 0.01 0.03 0.01 0 0.01 0 0.05 0.01 0.02 0.01 0.02 0
"заботушка" 0.02 0.03 0 0.03 0.03 0.03 0.01 0.01 0 0 0 0 0 0 0 0.04 0 0.02
"камушек" 0.01 0.02 0 0.02 0.04 0.05 0.02 0 0 0 0 0 0 0 0 0 0.04 0.02
"катенька" 0 0 0 0.04 0.07 0.03 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0.05
"кой" 0.01 0 0.02 0 0.01 0 0.02 0.01 0 0.05 0.01 0.06 0 0 0.01 0.02 0 0
"круг" 0 0 0 0 0 0 0.02 0.01 0.01 0.02 0.01 0.03 0.01 0.01 0.01 0.02 0.03 0.04
"ломать" 0.03 0.04 0.02 0.02 0.01 0 0.03 0.01 0.03 0.01 0 0 0 0 0 0.02 0 0
"нова" 0 0 0 0.01 0.03 0.05 0.02 0.01 0.01 0.01 0 0 0 0 0 0.04 0.02 0.02
"носиться" 0 0 0.01 0 0 0 0.01 0.03 0.03 0.01 0 0.01 0.04 0.04 0.02 0.01 0 0.01
"ныне" 0 0.01 0.01 0.01 0 0.01 0.02 0.01 0.01 0.03 0.02 0.05 0 0.01 0 0.01 0 0.02
"одевать" 0.02 0.02 0 0.02 0.01 0 0.01 0.02 0 0.04 0.02 0 0.03 0.01 0 0.01 0.01 0
"печка" 0.02 0.02 0.02 0 0.03 0.02 0 0 0 0 0 0 0.01 0.01 0.01 0.03 0.02 0.03
"покрывать" 0.02 0 0.04 0 0 0 0 0.01 0.01 0.03 0.04 0.03 0.01 0 0.01 0 0 0.02
"поливать" 0.02 0.04 0.05 0.05 0 0.01 0 0.01 0.01 0 0 0 0.01 0 0 0.01 0.01 0
"понимать" 0.04 0.01 0.01 0 0 0.01 0 0 0 0.02 0.04 0.03 0.02 0.01 0.03 0 0 0
"посидеть" 0.03 0.01 0 0.01 0.02 0.04 0.02 0.02 0.01 0 0 0 0.01 0.01 0 0.01 0.02 0.01
"поход" 0 0 0 0.04 0.01 0.02 0.02 0.02 0.01 0 0 0.01 0 0.01 0 0.02 0.05 0.01
"прах" 0 0 0 0 0 0 0 0 0 0.05 0.07 0.03 0.02 0.03 0.02 0 0 0
"рыба" 0.04 0.03 0.03 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0.02 0.03 0.03
"светлица" 0 0 0 0 0 0.02 0.01 0.02 0.01 0 0.01 0 0.04 0.03 0.03 0.03 0.02 0
"свое" 0 0 0 0.01 0.03 0.02 0 0.01 0 0.01 0.03 0.01 0.02 0.05 0 0.02 0 0.01
"скука" 0.03 0.02 0.02 0 0 0 0.02 0.01 0 0 0.01 0.02 0.03 0.01 0.02 0 0.02 0.01
"сорвать" 0.01 0 0.01 0 0.02 0.07 0 0 0 0.03 0 0.01 0.01 0.03 0.01 0.01 0.01 0
"спасибо" 0.01 0.02 0.03 0 0 0.02 0.01 0.02 0.01 0.01 0 0 0.02 0 0.03 0 0 0.04
"стоить" 0 0.01 0 0.04 0.03 0.04 0.01 0 0.01 0 0.01 0.02 0 0.01 0 0.01 0.01 0.02
"тишина" 0 0 0 0 0 0 0 0 0 0.09 0.05 0.04 0.01 0.02 0.01 0 0 0
"тюрьма" 0 0 0.02 0.04 0.02 0.02 0.01 0.01 0.01 0.03 0 0.03 0 0.02 0 0 0 0.01
"узел" 0 0 0 0 0 0 0.06 0.06 0.07 0 0 0 0 0 0 0 0.02 0.01
"услышать" 0.02 0 0 0 0.01 0 0.01 0 0.01 0.01 0.03 0.02 0.04 0.01 0.04 0.01 0.01 0
"уходить" 0.03 0.01 0.01 0 0 0.05 0 0 0.02 0 0.01 0.01 0.02 0.03 0.01 0 0 0.02
"учить" 0 0.02 0.02 0.01 0.02 0.01 0 0.01 0.02 0.03 0.02 0.03 0 0.01 0 0 0.01 0.01
"ходити" 0 0.02 0 0 0 0 0.05 0.04 0.07 0 0 0 0 0 0 0.01 0.03 0
"юный" 0 0 0 0 0 0 0 0 0 0.07 0.03 0.04 0.05 0.01 0.02 0 0 0
"ягодка" 0.03 0.03 0.05 0.01 0.01 0 0.01 0 0 0 0 0 0.01 0 0 0.02 0.03 0.02
"белиться" 0 0.04 0.02 0.01 0.01 0 0.02 0.04 0.04 0 0 0 0 0 0 0.01 0.01 0.01
"близкий" 0 0 0 0.02 0 0.02 0.01 0 0 0.03 0.04 0.02 0.01 0.02 0.02 0.02 0 0
"выйти" 0 0 0 0.04 0.03 0.06 0 0 0 0 0 0 0.02 0.02 0.04 0 0 0
"вязать" 0.02 0.02 0.01 0 0 0 0.04 0.02 0.03 0 0 0 0 0 0 0.04 0.01 0.02
"гробовой" 0.01 0 0.01 0 0 0 0.01 0.01 0.01 0.03 0.02 0.01 0.03 0.03 0.02 0 0 0.02
"груша" 0.01 0 0 0.01 0 0 0.05 0.04 0.05 0 0 0 0 0 0 0.02 0.01 0.02
"игра" 0 0 0 0.01 0 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0 0.01 0.02 0 0.01 0
"коровушка" 0 0.01 0.01 0.02 0.02 0.02 0.02 0.04 0.04 0 0 0 0 0 0 0.02 0 0.01
"лошадь" 0.01 0 0.02 0 0.03 0.01 0.01 0.02 0 0 0.01 0.01 0 0 0 0.01 0.04 0.04
"лужок" 0.01 0.02 0.02 0.03 0 0.03 0.02 0.01 0 0 0 0 0 0.01 0 0.02 0.01 0.03
"машенька" 0.02 0.01 0 0 0.02 0.06 0 0 0 0 0 0 0.01 0 0.01 0.02 0.02 0.04
"можно" 0 0 0 0 0.02 0.01 0.02 0.02 0.02 0.03 0.01 0 0.01 0.01 0.03 0.02 0.01 0
"мрачный" 0 0 0 0 0 0 0 0 0 0.08 0.03 0.01 0.02 0.04 0.03 0 0 0
"неверный" 0 0 0.01 0 0 0 0.01 0.01 0 0 0.03 0.03 0.03 0.04 0.04 0.01 0 0
"питер" 0 0 0 0.04 0.04 0.03 0.01 0.01 0 0 0 0 0.01 0 0 0.02 0.03 0.02
"погуливать" 0.01 0 0.03 0.03 0.01 0.06 0.01 0 0.01 0 0 0 0 0 0 0.04 0.01 0
"получать" 0 0.01 0.02 0 0.01 0.01 0.01 0.02 0.04 0 0.02 0.04 0 0 0 0 0.02 0.01
"постой" 0.03 0.02 0.03 0 0.01 0 0 0 0.01 0 0.01 0 0.02 0.03 0.03 0.01 0.01 0
"привязывать" 0.01 0.02 0.03 0.01 0.01 0.02 0.01 0 0 0 0 0.01 0.01 0 0 0.05 0.01 0.02
"приговаривать" 0.01 0.02 0.02 0.03 0.01 0.01 0.02 0.03 0.02 0 0 0 0 0 0.01 0.01 0.02 0
"просыпаться" 0.03 0.01 0.01 0.01 0.01 0.03 0 0 0 0.01 0 0.02 0.02 0.01 0.01 0 0.01 0.03
"ругать" 0.03 0.01 0.03 0 0 0.01 0.03 0.03 0.02 0 0 0 0 0.01 0 0.02 0 0.02
"русь" 0 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0.04 0.06 0.04 0 0 0.02
"сержант" 0 0 0 0.02 0.01 0 0.07 0.04 0.04 0 0 0.01 0 0 0 0.01 0 0.01
"славушка" 0.02 0 0.01 0.05 0 0.02 0.01 0.02 0.04 0 0 0 0 0 0 0.02 0.01 0.01
"слезно" 0 0 0 0.06 0.08 0.07 0 0 0 0 0 0 0 0 0 0 0 0
"снаряжать" 0 0 0.01 0.04 0.01 0.01 0 0.01 0.02 0 0 0.01 0.03 0.01 0.04 0.01 0.01 0
"снимать" 0.01 0.02 0 0.02 0.02 0.02 0 0.01 0 0.03 0.02 0 0.01 0.01 0.01 0.02 0 0.01
"солдатушка" 0 0 0 0.05 0.05 0.04 0.02 0 0.01 0 0 0 0.01 0 0 0.02 0 0.01
"сосна" 0 0 0 0.05 0.02 0.02 0 0 0 0.01 0.02 0.01 0.03 0.01 0.01 0 0.02 0.01
"спешить" 0 0 0 0 0 0 0 0.01 0 0.04 0.01 0.06 0.02 0.03 0.04 0 0 0
"страдание" 0 0 0 0 0 0 0 0 0 0.06 0.05 0.1 0 0 0 0 0 0
"страшный" 0 0 0 0 0 0 0 0 0.01 0.02 0.04 0.04 0.03 0.04 0.01 0.01 0.01 0
"струя" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.07 0.04 0.03 0.03 0 0.01 0
"торг" 0.03 0.03 0.02 0.02 0 0.04 0.02 0 0.01 0 0 0 0 0 0 0.01 0.01 0.02
"тяжко" 0.02 0.01 0.02 0 0.01 0 0.01 0.01 0.01 0 0.02 0 0.04 0 0.03 0.01 0 0.02
"умный" 0.01 0.01 0.01 0.02 0.02 0 0 0 0 0 0.03 0.02 0.02 0.02 0.01 0.01 0.02 0.01
"ухо" 0.01 0 0 0 0.01 0 0.02 0.02 0.03 0.02 0.03 0.02 0.01 0 0.01 0 0.02 0.01
"чаша" 0 0 0 0.01 0 0 0.02 0.02 0.01 0.04 0.03 0.07 0 0 0 0 0.01 0
"чрез" 0.01 0.01 0.01 0 0.01 0.01 0.01 0 0 0.02 0.01 0.02 0.01 0.02 0.02 0.01 0.02 0.02
"бесталанный" 0 0 0 0 0 0 0.04 0.04 0.06 0 0 0 0.01 0.02 0.02 0 0 0.01
"внимать" 0 0 0 0 0 0 0.01 0 0 0.04 0.04 0.08 0.01 0.01 0.01 0 0 0
"времечко" 0 0 0 0.03 0 0.03 0.01 0.01 0.01 0 0 0.01 0.04 0.02 0.04 0 0 0
"второй" 0.04 0.03 0.01 0.02 0.02 0.01 0 0 0 0 0.01 0.01 0 0.01 0.01 0.01 0 0.02
"горемыка" 0.01 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0 0.04 0.06 0.05 0 0 0
"гребец" 0.03 0.01 0.02 0 0 0.02 0.01 0.05 0.01 0 0 0 0 0 0 0.02 0.02 0.01
"далекий" 0 0 0 0 0 0 0 0 0 0.01 0.05 0.03 0.05 0.02 0.03 0.01 0 0
"двенадцать" 0 0.01 0.02 0 0.01 0.01 0.01 0.01 0.02 0.01 0.02 0.02 0 0 0 0.02 0.01 0.03
"деверь" 0.03 0.05 0.03 0 0.01 0.03 0.01 0.01 0 0 0 0 0 0 0 0.01 0.02 0
"дон" 0 0 0 0.01 0.02 0.01 0.01 0.01 0.01 0 0.02 0 0.01 0 0.01 0.03 0.03 0.03
"доходить" 0.03 0 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0.02 0.05 0.03
"древо" 0 0.01 0.01 0.02 0.03 0.05 0 0 0 0.01 0.01 0.02 0 0.02 0.01 0.01 0 0
"дурак" 0.01 0.01 0.01 0 0.02 0.02 0 0.02 0 0.01 0 0.03 0 0 0 0.03 0.02 0.02
"заезжать" 0.02 0.01 0.01 0.02 0.01 0 0.01 0.02 0.02 0 0 0 0 0 0.02 0.01 0 0.05
"заснуть" 0 0 0 0.01 0.01 0.01 0.03 0.02 0.03 0.02 0 0.01 0.01 0.02 0.01 0 0.01 0.01
"избывать" 0.04 0.04 0.03 0 0.01 0.02 0.01 0.01 0 0 0 0 0.01 0 0.01 0.01 0 0.01
"изукрашивать" 0.01 0 0.01 0.02 0.04 0.02 0.02 0.01 0.01 0 0 0 0.02 0.01 0.01 0.01 0.01 0
"имя" 0 0 0 0 0 0.01 0 0 0 0.04 0.02 0.05 0.02 0.01 0.03 0.01 0 0.01
"коли" 0.04 0.03 0.01 0.01 0 0 0.01 0.01 0 0 0 0 0.03 0.02 0.01 0.01 0.02 0
"кровавый" 0 0 0 0.01 0.01 0 0.01 0.01 0 0.02 0 0.04 0.03 0.02 0.03 0 0.02 0
"кручинушка" 0.02 0.02 0.02 0.01 0 0.02 0 0.01 0.01 0 0 0 0.01 0.02 0.05 0 0 0.01
"лад" 0.02 0.05 0.01 0 0 0 0 0.02 0 0 0 0.01 0.02 0.02 0 0.02 0.01 0.02
"ленточка" 0.03 0.03 0.03 0.01 0.02 0.03 0 0.03 0.01 0 0 0 0 0 0 0 0.01 0
"меч" 0 0 0 0 0 0 0 0 0 0.04 0.08 0.03 0.03 0 0.01 0 0.01 0
"молиться" 0.02 0.03 0.01 0.01 0.03 0 0.01 0 0.01 0.02 0.01 0.01 0.01 0 0.01 0.02 0 0
"мужик" 0 0 0 0.01 0 0.01 0.02 0.06 0.01 0.01 0.01 0.01 0.01 0 0.01 0.02 0.02 0
"написать" 0 0 0 0.01 0 0.01 0 0.01 0.01 0.02 0.01 0 0 0.03 0 0.03 0.04 0.03
"неволя" 0 0 0 0.03 0.01 0.03 0.01 0.01 0 0.01 0 0.01 0.02 0.03 0.03 0 0.01 0
"обычай" 0.04 0.05 0.01 0.01 0.01 0.01 0.01 0.02 0.01 0 0 0 0.01 0.01 0.01 0 0 0
"песнь" 0 0 0 0 0 0.01 0 0 0 0.04 0.04 0.06 0.02 0.02 0.01 0 0 0
"плеть" 0.05 0.02 0.02 0.01 0.01 0.02 0 0 0 0 0 0.01 0 0 0 0.03 0 0.03
"пожить" 0.03 0.04 0.01 0 0.01 0.01 0.01 0.01 0.01 0 0 0 0.01 0 0.02 0 0.01 0.03
"показывать" 0 0 0 0.01 0.01 0.02 0.01 0.01 0.01 0.02 0.01 0.01 0.01 0 0 0.03 0.03 0.02
"призадумываться" 0.01 0.01 0.01 0.02 0.01 0.03 0 0.02 0.01 0 0 0 0.03 0.03 0.01 0 0.01 0
"приказывать" 0.02 0.01 0.02 0.01 0 0.01 0 0 0.01 0 0.01 0.01 0.01 0 0.01 0.02 0.03 0.03
"пропеть" 0.03 0.06 0.05 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0.01 0
"пьяница" 0.01 0.01 0.01 0.03 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0.06 0.02 0.03
"работа" 0 0.01 0.01 0.01 0 0.03 0 0.01 0 0.03 0.01 0 0.02 0.01 0.01 0.03 0 0.02
"сапог" 0.01 0.03 0.01 0.02 0 0 0.03 0.04 0.03 0.01 0 0 0 0 0 0.01 0 0.01
"связывать" 0.03 0.04 0.02 0.03 0 0 0.01 0.02 0.02 0 0.01 0 0 0 0 0.01 0 0.01
"середь" 0.07 0.03 0.04 0.01 0 0.04 0 0 0 0 0 0 0 0 0 0 0.01 0
"сиротина" 0 0.01 0.01 0 0.01 0.02 0 0 0.03 0 0 0 0.03 0.03 0.04 0 0.01 0.01
"сладко" 0 0 0 0.02 0 0 0.02 0 0.01 0.03 0.02 0.02 0.03 0.03 0 0.01 0 0.01
"снова" 0.01 0 0 0 0 0 0 0 0 0.03 0.08 0.03 0.02 0.02 0.01 0 0 0
"соловейко" 0.02 0.01 0.02 0.02 0.04 0.02 0.03 0.02 0.01 0.01 0 0 0 0 0 0 0 0
"столб" 0.01 0 0.01 0 0.01 0.01 0 0.03 0.02 0 0 0 0.01 0.03 0.01 0 0.02 0.04
"тяжело" 0.02 0 0.01 0 0 0.01 0.01 0.01 0.01 0 0 0 0.03 0 0.04 0.02 0.01 0.03
"упасть" 0 0 0 0.01 0 0 0.03 0.01 0.01 0.03 0.02 0 0.01 0.04 0.04 0 0 0
"ус" 0.01 0.01 0 0.03 0.03 0.01 0 0 0 0.01 0.01 0 0.01 0 0.01 0.02 0.03 0.02
"чадо" 0.03 0.03 0.03 0.01 0 0 0 0 0.02 0.01 0.01 0.02 0 0 0 0.03 0.01 0
"чудить" 0.08 0.02 0.04 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.02 0 0.01
"чуждый" 0 0 0 0 0 0 0 0 0 0.06 0.08 0.03 0.01 0.01 0.01 0 0 0
"аленький" 0 0 0 0.04 0.02 0.01 0.03 0.03 0.01 0 0 0 0 0.01 0 0.01 0.02 0.01
"близ" 0.01 0.02 0.02 0 0 0 0 0 0 0.02 0.02 0.03 0.01 0.03 0.02 0.01 0 0
"везде" 0 0 0 0 0.03 0 0.01 0.02 0.03 0.04 0.02 0.02 0.01 0 0.01 0 0 0
"вечерок" 0.01 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0.06 0.04 0.04 0.01 0 0
"водить" 0.02 0 0.02 0.01 0.01 0.02 0.02 0.01 0.03 0 0.01 0 0 0 0.01 0 0.01 0.02
"возговаривать" 0 0.01 0.02 0 0.01 0.01 0.01 0.03 0.04 0 0 0 0 0 0 0.02 0 0.04
"выпивать" 0.01 0.01 0.03 0 0.01 0.01 0.02 0.01 0.03 0.01 0 0.01 0 0 0 0.01 0.01 0.02
"гнездо" 0 0.02 0 0 0.01 0.02 0.01 0.01 0.01 0 0.01 0.01 0.02 0.04 0.02 0 0.01 0
"дерево" 0 0 0 0.01 0 0 0 0 0.01 0.01 0.01 0.03 0.02 0.03 0.03 0.01 0 0.03
"дивный" 0.01 0 0.01 0.02 0.01 0 0 0 0 0.02 0.06 0.04 0 0 0 0.01 0 0.01
"еси" 0 0 0 0.02 0.03 0.02 0.02 0.02 0.01 0 0 0 0.01 0.01 0 0.02 0.01 0.02
"загадывать" 0.01 0.02 0.02 0.01 0.02 0.02 0.01 0.01 0.01 0 0 0 0.01 0.01 0.01 0.02 0.01 0
"заниматься" 0.01 0.02 0.04 0.01 0.01 0.02 0.01 0 0 0 0.01 0 0.01 0.02 0.02 0 0.01 0
"клонить" 0 0.01 0.01 0.02 0.03 0.01 0.01 0.01 0.01 0.01 0 0 0 0.02 0.02 0.02 0 0.01
"ковер" 0 0.01 0 0 0 0.01 0.01 0.01 0.02 0.02 0.02 0.02 0 0 0.02 0.01 0.01 0.03
"ластушка" 0.01 0 0.02 0.04 0.03 0.08 0 0 0 0 0 0 0 0 0 0.01 0 0
"листочек" 0.01 0.01 0 0.02 0.03 0.04 0.01 0 0 0 0 0 0 0.02 0.01 0.01 0.03 0
"лишаться" 0 0 0 0 0 0.01 0.04 0.03 0.03 0.01 0.01 0.02 0.01 0.01 0.02 0 0 0
"миг" 0 0 0 0 0 0 0 0 0 0.05 0.04 0.07 0.01 0 0.02 0 0 0
"муравка" 0.01 0.01 0.01 0 0.02 0.03 0.02 0.01 0.01 0 0 0 0.02 0 0.01 0.01 0.01 0.02
"нанимать" 0.01 0.01 0.02 0.03 0.02 0.03 0.01 0.02 0 0.01 0 0 0 0 0 0.02 0 0.01
"невежа" 0 0.01 0.02 0 0 0.04 0.02 0.03 0.03 0 0 0 0 0 0 0 0.04 0
"никакой" 0.02 0.02 0.01 0 0.01 0.03 0 0.02 0 0 0 0 0.01 0.01 0.04 0 0.01 0.01
"ночной" 0 0 0 0 0.01 0 0.01 0.01 0 0.04 0.05 0.02 0.03 0.01 0.01 0 0 0
"память" 0 0 0 0 0.01 0.01 0 0 0 0.03 0.05 0.04 0.01 0.02 0.02 0 0 0
"подниматься" 0.01 0 0 0 0.03 0 0.01 0 0.01 0.01 0.02 0 0 0.05 0.04 0.01 0 0
"постылый" 0.02 0.02 0.04 0.01 0 0.02 0.01 0.01 0.01 0 0 0 0.01 0.03 0 0.01 0 0
"потопать" 0 0.02 0.02 0.05 0.03 0.02 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0.02
"почто" 0.01 0.01 0.01 0 0 0 0.02 0.02 0.01 0.02 0.03 0.02 0 0 0 0.01 0 0.03
"пояс" 0.01 0 0.01 0 0 0 0.03 0.02 0.04 0.02 0 0 0.01 0.01 0.01 0.01 0.01 0.01
"раздаваться" 0 0 0 0.01 0.01 0 0.03 0.02 0.01 0.01 0.03 0.02 0 0.03 0.02 0 0 0
"разливаться" 0 0.01 0 0.02 0 0.01 0.01 0.02 0.02 0 0.01 0.01 0 0.01 0.05 0 0.02 0
"рваться" 0 0 0 0 0.02 0 0.03 0.03 0.04 0.01 0 0.02 0.01 0 0 0.01 0.01 0.01
"рубашечка" 0.02 0.02 0.03 0.01 0 0.02 0.02 0.02 0.01 0 0 0 0 0 0 0.01 0 0.03
"рукав" 0.02 0 0.02 0.01 0.02 0 0.01 0.02 0.02 0 0 0 0 0 0 0.02 0.01 0.04
"свекровушка" 0.03 0.04 0.05 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02
"седлать" 0.01 0.01 0.01 0.02 0.02 0.04 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0.04
"сеять" 0.01 0.02 0.02 0.02 0.01 0.03 0.03 0.02 0.01 0.01 0 0 0 0 0 0.01 0 0
"случаться" 0.01 0.01 0 0 0 0 0 0 0 0.03 0 0.03 0.02 0.01 0.03 0.03 0 0.02
"смертный" 0 0 0 0 0 0 0 0 0 0.01 0.07 0.04 0.02 0 0.02 0.03 0 0
"стекло" 0.02 0.03 0.03 0 0 0.03 0 0 0.01 0.01 0.02 0.02 0.01 0.01 0 0 0 0
"сто" 0 0 0 0.03 0.01 0.03 0.01 0.02 0 0.02 0 0.01 0 0 0 0.02 0.01 0.03
"страх" 0 0 0 0 0 0.01 0 0.01 0 0.03 0.04 0.06 0.02 0 0.02 0 0 0
"стыдно" 0.03 0.01 0.03 0.01 0 0.03 0.01 0.01 0 0 0.01 0.01 0 0 0.01 0 0.02 0.01
"угол" 0.01 0.01 0.01 0 0.01 0.02 0 0 0.01 0.01 0.02 0 0 0.05 0 0.01 0.02 0.01
"хвала" 0.01 0.03 0.02 0 0.02 0.01 0.01 0.01 0.01 0.01 0.04 0.02 0 0 0 0 0 0
"цветной" 0.02 0.01 0.01 0.02 0.03 0.02 0.01 0.02 0 0 0 0.01 0.02 0 0.02 0 0 0
"шельма" 0.01 0.02 0.02 0.05 0.03 0.01 0 0 0 0 0 0 0 0 0 0.02 0.03 0
"яблонька" 0.03 0.04 0.04 0 0.03 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0.01
"яблочко" 0.01 0.02 0.02 0.01 0.02 0.02 0.04 0.03 0 0 0 0 0 0 0 0.02 0 0
"бой" 0 0 0 0 0 0 0 0 0 0.03 0 0.04 0.02 0.04 0.02 0 0.01 0.02
"бытие" 0 0.03 0.01 0 0 0 0.01 0.02 0.02 0.01 0.02 0.02 0 0 0 0.01 0.02 0.01
"вихорь" 0 0 0 0.01 0.01 0 0 0.01 0.01 0.02 0.02 0.01 0.04 0.02 0.01 0 0.01 0.01
"воздыхать" 0.01 0.01 0.01 0.02 0 0.02 0.03 0.02 0 0 0 0 0.03 0.01 0.01 0.01 0 0
"вышивать" 0.03 0.02 0.05 0.01 0.01 0.01 0.01 0.02 0.01 0 0 0 0 0 0 0.01 0 0
"вянуть" 0 0 0 0 0.02 0 0.01 0.03 0.03 0 0 0.01 0.02 0.02 0.03 0 0 0.01
"гой" 0 0 0 0.02 0 0.01 0 0.01 0.02 0 0 0 0.04 0.01 0.03 0.02 0.01 0.01
"гостить" 0.03 0.03 0.08 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0
"грустить" 0 0 0 0 0.01 0 0 0.03 0.01 0.01 0 0.02 0.05 0.03 0.02 0 0 0
"гусь" 0 0.01 0.02 0.02 0.02 0.01 0.02 0.01 0.01 0 0 0.01 0 0 0 0.01 0.01 0.03
"дальный" 0.05 0.01 0.02 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0.03 0.02 0.01
"девчонка" 0.02 0.04 0.02 0 0 0 0 0 0 0 0.01 0 0 0 0 0.04 0.04 0.01
"жар" 0 0 0 0.01 0 0.01 0 0.01 0.02 0.02 0.05 0.02 0 0 0.04 0 0 0
"зазнобушка" 0.05 0 0.05 0.01 0.01 0.01 0.01 0.02 0 0 0 0 0 0 0.01 0 0 0.01
"закрывать" 0.01 0 0 0.01 0.02 0 0.01 0 0.02 0 0 0.01 0.01 0.03 0.03 0 0.01 0.02
"золовушка" 0.05 0.03 0.03 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0.02 0.01 0
"капустка" 0.02 0.04 0.02 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0.05 0.01
"катя" 0 0 0 0.02 0 0.02 0.02 0.02 0.02 0.01 0 0 0 0.02 0.01 0.02 0.02 0
"красотка" 0 0 0 0.01 0 0 0 0 0.01 0.02 0.01 0.01 0.02 0.06 0.01 0.01 0.01 0.01
"крест" 0.01 0 0 0.01 0 0.01 0 0 0 0.01 0.02 0.03 0.01 0.03 0.01 0.02 0.01 0.01
"кудреватый" 0.02 0.01 0.01 0 0.02 0 0.02 0.02 0.01 0 0 0 0 0 0 0.02 0.02 0.03
"лодочка" 0.01 0 0 0.02 0.04 0 0.01 0 0.01 0 0 0 0 0 0 0.04 0.02 0.03
"луна" 0 0 0 0 0 0 0 0 0 0.05 0.05 0.06 0 0.01 0.01 0 0 0
"любоваться" 0.02 0 0 0 0 0 0 0 0 0.01 0 0.01 0.07 0.04 0.03 0 0 0
"невестка" 0.02 0.04 0.05 0 0.01 0.04 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"нрав" 0 0 0.01 0 0.01 0.01 0.03 0.02 0.01 0.01 0.02 0.02 0 0.01 0.02 0 0 0.01
"нужда" 0 0 0.01 0.02 0.01 0.01 0.02 0.01 0.01 0.01 0 0.02 0.03 0.01 0.01 0 0 0.01
"обедня" 0.01 0.01 0.01 0.01 0 0 0.02 0.02 0.02 0 0 0 0 0 0 0.03 0.03 0.02
"отпускать" 0 0.01 0.01 0.02 0.03 0.02 0 0 0 0 0.02 0.02 0.01 0 0.01 0 0.02 0.01
"парус" 0 0 0 0.02 0.04 0.02 0.02 0.02 0 0.03 0.01 0 0.01 0 0 0 0 0.01
