Name;Title;Publication;Year;G_title;Comment;Meter;Regularity;Rhyme;Type;path
Башмаков, И.И.;Было время времечко;Ваненко, И. Звездочка. М., 1842. С. 94-96;1842;Цикл русские песни;NA;Х32дж;reg;rhymed;core;corpus_split//41_baskmakov_1842_utf8.txt
Башмаков, И.И.;Он ласкал ее;Ваненко, И. Звездочка. М., 1842. С. 97-98;1842;Цикл русские песни;NA;Пс;reg;occ;core;corpus_split//42_bashmakov_1842_utf8.txt
Башмаков, И.И.;Так то ты со мной мой милый;Ваненко, И. Звездочка. М., 1842. С. 99-101;1842;Цикл русские песни;NA;Х4жм;reg;rhymed;core;corpus_split//43_bashmakov_1842_utf8.txt
Башмаков, И.И.;Ты душа моя девица;Ваненко, И. Звездочка. М., 1842. С. 101-103;1842;Цикл русские песни;NA;Х4жм;reg;rhymed;core;corpus_split//44_bashmakov_1842_utf8.txt
Башмаков, И.И.;Как разгневалась, разобиделась;Ваненко, И. Звездочка. М., 1842. С. 104-107;1842;Цикл русские песни;NA;Пс;reg;unrhymed;core;corpus_split//45_bashmakov_1842_utf8.txt
Башмаков, И.И.;Не о том ли ты девица;Ваненко, И. Звездочка. М., 1842. С. 107-109;1842;Цикл русские песни;NA;Х42мд (Х4+Пс);reg;rhymed;core;corpus_split//46_bashmakov_1842_utf8.txt
Башмаков, И.И.;Так то я частехонько;Ваненко, И. Звездочка. М., 1842. С. 109-111;1842;Цикл русские песни;NA;Х34дж;unreg;unrhymed;core;corpus_split//47_bashmakov_1842_utf8.txt
Башмаков, И.И.;Ах никто того не ведает не знает;Ваненко, И. Звездочка. М., 1842. С. 109-111;1842;Цикл русские песни;NA;Х6ж;reg;occ;core;corpus_split//48_bashmakov_1842_utf8.txt
Башмаков, И.И. (без подписи публ.???);Высыпайте, снега белые;Литературная газета.М., 1840. № 96,30 ноября, С. 2200 (Звездочка Ив. Ваненко. С. 85-87);1840;Песня;в сборнике - в цикле русские песни, за основу - вариант сборника;Х4д + Ан2д;unreg;unrhymed;core;corpus_split//49_bashmakov_1840_utf8.txt
Берг, Н.;Уж ты слышишь ли;Московский городской листок. М., 1847, № 20, 24 янв. С. 80;1847;Русская песня;января 19;Пс;reg;unrhymed;core;corpus_split//50_berg_1847_utf8.txt
Бернет, Е.;Я сегодня в огороде;СО, 1837. Ч. 185., с. 267-269;1837;Скорбь Елены-молдаванки;NA;Х43жм;unreg(сверхсхемные);occ;core;corpus_split//51_bernet_1837_utf8.txt
Боратынский;Страшно воет завывает;NA;1821;Русская песня;NA;Х42ж;reg;unrhymed;core;corpus_split//53_baratynsky_1821_utf8.txt
Бубнов, Г.П.;Ненаглядное красно солнышко;Весенние цветы, подарок для светлого праздника на 1830 г. М., 1830. С. 151-153;1830;Сельская песня;NA;Пс;reg;unrhymed;core;corpus_split//54_bubnov_1830_utf8.txt
Бушмакин, Н.;Не труби труба;Благонамеренный, 1826, ч. 34, № 9, с. 173-175;1826;Песня;NA;Пс + Д1;reg;occ;core;corpus_split//55_bushmakin_1826_utf8.txt
Бушмакин, Н.;Ах ты солнце нанаглядное мое;Славянин, 1828, ч.5.№ 6. С. 214;1827;Песня;NA;Х6м;reg (Ан1м + Х4м);unrhymed;core;corpus_split//56_bushmakin_1827_utf8.txt
Бушмакин, Н.;Ах ты туча;Календарь муз на 1826 г. СПб., 1826. Стихи. С. 68-69;1826;Песня;NA;Х2мд;reg (Ан1м + Пс);unrhymed;core;corpus_split//57_bushmakin_1826_utf8.txt
Бушмакин, Н.;Опущу я золотое;Невский альманах на 1827 г. СПб., 1826. С. 179;1826;Песня;NA;Х4жм;reg;unrhymed;core;corpus_split//58_bushmakin_1826_utf8.txt
Бушмакин, Н.;Ты светись мое кольцо;Памятник отечественных муз на 1828 г. СПб., 1828. С. 169-170;1828;Русская песня;NA;Х42443мжммж;reg(специфическая напевная строфа?;occ;core;corpus_split//59_bushmakin_1828_utf8.txt
Бушмакин, Н.;Песню выслушай мою;СО, 1832, т. 27. , ч. 149, с. 226;1832;Песня;NA;Х43443мж;reg (нетрадиционная строфика, рефренные штуки;occ;core;corpus_split//60_bushmakin_1832_utf8.txt
В.И.;Ах ты сердце бедное;Литературная газета 1847. № 8, 20 февраля. С. 116;1847;Песня;NA;Х3д + Пс;reg;rhymed;core;corpus_split//61_VI_1847_utf8.txt
