;KIREEVSKY.n;PESENNIKI.n;RUSCORPORA.n;RUSSKIE_PESNI.n;SOBOLEVSKY.n
сам;0.2420823912;0.9096463464;-0.4871147925;-1.4846530515;0.8200391064
ним;-0.8594738072;-0.4062734536;1.5336370127;0.4611692766;-0.7290590285
вас;-0.8182592668;-0.6470129474;1.6484565172;0.2064337574;-0.3896180603
вам;-0.818257205;0.3273634199;1.607582661;-0.6462913053;-0.4703975706
б;-0.7146705135;-0.2383558037;0.4157251535;1.5167008401;-0.9793996764
свой;-0.5998108187;-0.5012678695;1.7666731476;-0.1806205194;-0.4849739399
молодец;0.4861173026;0.1605251491;-1.4588333461;-0.3938732674;1.2060641617
вдруг;-0.7533793684;-0.4876985854;1.6334621905;0.2778269712;-0.6702112079
день;-0.6640786098;-0.0904663089;1.1930891688;0.7884959913;-1.2270402414
пред;-0.5195950815;-0.534563438;1.7704635501;-0.1950953912;-0.5212096394
своей;0.1522642143;-1.1688354052;0.8524894449;1.049108539;-0.885026793
любви;-0.6977332908;-0.4128800831;1.4756064346;0.5586761806;-0.9236692413
всех;-1.2641963855;0.5286452585;1.1495339803;0.3910146001;-0.8049974534
мои;1.0512127751;-0.1555036957;-1.3705205908;-0.4258139012;0.9006254126
один;0.9941928073;-0.6094330625;1.1569104454;-0.5327629024;-1.0089072879
жизнь;-0.8174862051;-0.394064608;1.0327420685;1.1126069245;-0.9337981798
им;-0.8516681595;-0.2236611576;1.6694460507;0.0642583708;-0.6583751044
душа;-0.3616721323;1.1435440842;-1.5084839666;0.2584398812;0.4681721335
свет;-1.1483813002;0.0091381264;0.186919538;1.5232381801;-0.5709145443
наш;-1.0345468251;0.2642712566;1.1674788035;-1.0406175342;0.6434142992
была;0.9222195182;1.0100261188;-1.1781642048;-0.85504077;0.1009593377
при;0.2405253758;1.5724791969;-0.9675938559;-0.7192346225;-0.1261760943
мной;-0.3185795438;1.3044227355;-1.2093396835;0.7073616231;-0.4838651314
теперь;-0.9824072087;-0.407703485;0.9356703611;1.1993099029;-0.7448695703
хоть;-0.8402335187;0.6611099349;1.0582995798;0.3821382556;-1.2613142515
нем;-1.0601234712;-0.3112853448;1.3446866756;0.7100318561;-0.6833097158
будет;-1.4232143909;0.4185670397;0.9163404297;0.7354144793;-0.6471075578
них;-0.9005341621;-0.1667609144;1.5176301207;0.3899044294;-0.8402394736
жизни;-0.6770812949;-0.5126157378;1.6552645641;0.2311713426;-0.696738874
тот;-0.6444198315;-0.539992489;1.6946269518;0.1264757039;-0.6366903352
час;-0.7308031263;-0.3249593765;1.7216482125;-0.0375162672;-0.6283694425
себе;0.7567246886;0.9989260331;-1.1936265877;-0.9317172735;0.3696931394
любовь;-0.6513090522;0.1643342202;0.5521813244;1.2405347323;-1.3057412246
тобой;-0.1287520145;0.7780657028;-0.7685186423;1.2386510059;-1.1194460518
чем;-0.9000122648;1.3361118222;0.2504309733;0.400510697;-1.0870412278
милый;-0.6341760988;0.780287478;-1.4531029784;0.7615475035;0.5454440957
сей;-0.7030460988;0.0486814734;1.6946244046;-0.3073692021;-0.7328905771
это;-1.0364812794;-0.9261541731;1.3642174492;0.417115115;0.1813028884
тогда;-0.9413325875;-0.4567629275;0.746179414;1.3593939625;-0.7074778616
мир;-0.5060021207;-0.5042773385;1.7717314716;-0.2064715536;-0.5549804588
девица;-0.2177154675;0.8515680515;-1.6249936744;0.7142564573;0.2768846332
три;0.9978001806;0.0728219703;-0.935849786;-1.0955386865;0.9607663216
себя;-1.2763305392;1.3177977485;0.060283779;0.5084002352;-0.6101512236
поле;0.4426995886;-0.4019744685;-1.5658890383;0.8795491166;0.6456148017
мое;0.3444340724;1.1770465796;-1.5744186038;-0.0622197095;0.1151576614
души;-0.7761664394;-0.7550153177;1.197578555;0.9846272501;-0.651024048
взор;-0.7247649086;-0.2256197602;1.6849459443;0.0295685666;-0.7641298422
много;-0.5011915238;-0.3363478371;-0.5553025893;1.7820801928;-0.3892382426
про;0.9495703203;0.179091109;-1.3555050316;-0.6621810871;0.8890246896
или;-1.3135937942;0.4167508522;0.865788812;0.8373292385;-0.8062751085
давно;-0.756214442;-0.5813424656;1.2282425395;0.9422455188;-0.8329311507
весь;-0.2937714084;-0.1162586385;1.7356292258;-0.5950984538;-0.7305007251
добрый;0.1916533971;0.2188311123;-1.3506163864;-0.4380346406;1.3781665176
жена;0.9809816241;-0.1364120236;-1.0237740179;-0.8990576069;1.0782620243
ка;0.5055612792;-0.4708580719;-0.858538605;-0.6940342783;1.517869676
молодца;0.3887788587;0.2594727003;-1.6072245447;-0.1281892373;1.087162223
ночь;-0.1574753793;-0.3512695348;-0.2578929784;1.7045750912;-0.9379371988
молодой;0.7865449051;-0.470347022;-0.9352193303;-0.7136930242;1.3327144715
будто;-0.6357456095;-0.961771476;0.7605723155;1.3517768977;-0.5148321277
горе;-0.0773213595;0.1199232468;-1.525525245;1.267238108;0.2156852497
перед;-0.2989980838;0.0634758535;1.6577207171;-0.9824004764;-0.4397980104
грудь;-0.7539870452;-0.435973694;0.2887829449;1.6236136573;-0.722435863
свою;0.8639698486;-0.9418217605;-1.1243949733;1.0367637929;0.1654830923
стал;0.6544554013;-0.5435396316;-0.1715005698;-1.2434825197;1.3040673197
пусть;-0.7644644173;-0.4243821946;0.8871707984;1.2469486981;-0.9452728846
идет;0.0873376917;1.1790894392;-0.9313586898;-1.0836553323;0.7485868913
сердца;-0.7756510418;-0.5532677599;1.0932938397;1.0845620003;-0.8489370382
два;0.9708028103;0.2035905452;-0.7665557975;-1.2868128796;0.8789753215
сон;-0.4016456825;-0.5473135956;1.7430510916;-0.0924063149;-0.7016854986
радость;-0.6640626911;1.6476663308;-0.8609218968;0.1571819959;-0.2798637388
путь;-0.7220170768;-0.6749160983;1.2898560355;0.8762530561;-0.7691759165
раз;-0.5024424764;-0.626166647;1.663629477;0.2040194945;-0.7390398481
море;-0.2586872049;1.6876378701;-0.5600847613;-0.8781673489;0.0093014451
стоит;0.8375335094;0.7413650117;-1.217801152;-0.955364869;0.5942674999
меж;-0.6155227367;-0.399862037;1.7551425876;-0.1384747176;-0.6012830962
лет;-0.3854703642;-0.4573886106;1.7517825139;-0.7376536492;-0.1712698899
тем;-0.7802469166;0.4975398544;1.5069819742;-0.3638939853;-0.8603809268
матушка;1.0213784306;0.514855771;-1.4113648343;-0.6506365035;0.5257671362
того;-0.0412202601;1.5868681658;-1.146177213;-0.4078695505;0.0083988578
люблю;0.1782830826;1.6701361365;-0.6768139179;-0.717054046;-0.4545512552
одна;1.387778164;-0.2192584555;-1.332817207;0.4257320405;-0.261434542
слезы;-0.1133961645;-0.4489839221;-0.4353158059;1.7435078094;-0.7458119169
мою;-0.3075831811;-0.0059472257;-1.0950266228;1.6300909849;-0.2215339553
царь;-0.3523451553;-0.0324635119;1.684224698;-0.9611122286;-0.3383038022
той;0.7887249891;1.1005602983;-1.3376075453;-0.611481397;0.059803655
душе;-0.8904375432;-0.4939221123;0.9338728011;1.2226336009;-0.7721467464
жить;0.021097001;-0.8955524541;-0.5494354906;1.6819786286;-0.2580876849
время;-0.8088714066;-0.3502194008;0.1443642443;1.6665434627;-0.6518168997
зачем;-0.9175385342;-0.5485220599;0.7653853421;1.3568064436;-0.6561311917
всем;0.845999794;0.5417903485;0.7305025249;-0.7323958819;-1.3858967855
сын;0.5475429442;0.8978634271;-0.4674049244;-1.5371722772;0.5591708303
коня;0.6624843232;-0.6284655297;-1.327705669;0.114616799;1.1790700766
него;-0.7161804636;-1.0590368193;0.4993457665;1.444860879;-0.1689893626
всегда;-1.0596706907;0.5587976952;1.2174536089;0.2843238798;-1.0009044932
говорит;-0.4127509461;-0.0470965889;0.2465729686;-1.2615508104;1.4748253767
куда;0.3689342459;-1.3071976949;-0.6344073212;1.2942735622;0.278397208
дни;-0.8640965051;-0.3910783677;0.9969207256;1.1472617417;-0.8890075945
скажи;0.8699186273;1.0381169652;-1.2509357495;-0.7671980705;0.1100982276
мать;0.5849267031;-0.4302019167;-1.5623784612;0.8470332843;0.5606203904
сама;0.5962224224;0.9433867207;-1.1531441619;-1.0148532271;0.6283882459
людей;-0.8096772325;-0.6087122807;1.3818660421;0.747532398;-0.7110089269
дух;-0.7137284558;0.0035078113;1.6903678713;-0.2135853196;-0.7665619072
люди;-0.0509448215;-0.3317116732;-1.1772416969;1.5814579211;-0.0215597294
твоей;-0.7200541441;-0.3830040589;1.1095455914;1.0223579483;-1.0288453366
всю;-0.3720928043;1.5043052019;-1.256770379;0.1377232544;-0.013165273
батюшка;0.612568134;0.7089082836;-1.3481844387;-0.7941889873;0.8208970084
очи;-0.6707988522;-0.1670513451;-0.2450600747;1.7405633419;-0.65765307
сказал;-0.2725122947;-0.9885708429;1.5774412041;0.2946469666;-0.6110050332
твоя;-1.0374804553;-0.4974488222;-0.5987680573;0.9231064856;1.2105908492
друга;-0.7566583715;0.0545284461;-0.6926239422;1.6903768473;-0.2956229797
другой;0.5443147416;1.2379212203;-1.4172686618;0.0366298932;-0.4015971934
тобою;-1.072250542;-0.3478647645;0.8427323435;1.2510805751;-0.673697612
долго;-0.8552855637;0.6076800552;-0.3605002382;1.4407926927;-0.8326869459
руки;0.89480778;0.7630866345;-1.04124485;-1.1276838747;0.5110343102
душой;-0.6750837046;-0.8247680892;1.0152531487;1.1685451624;-0.6839465172
век;-0.8320159175;0.2204982421;0.0250376654;1.5355209218;-0.9490409118
опять;-0.7962687585;-0.7936344851;1.0536424251;1.1289875912;-0.5927267727
знаю;1.4265274017;0.5771557507;-0.2272508406;-0.9229435801;-0.8534887317
любить;0.8407653606;-0.236626853;-1.4819498468;1.0114742763;-0.1336629371
моих;-0.8488410838;-0.2289754751;1.1460684259;0.9434314946;-1.0116833616
груди;-0.8332866275;-0.3136450605;0.1500040481;1.6577365658;-0.6608089259
конь;0.5634520798;0.3205738887;-0.9949523306;-1.0811263813;1.1920527434
ночи;-0.2409462035;-0.6378051245;0.7921112259;1.2483005701;-1.1616604679
милой;0.6117078359;1.2085202348;-1.4458050204;-0.2364248267;-0.1379982236
собой;-0.8211661907;1.1640856358;-0.699146217;1.0202346749;-0.664007903
красна;0.4101918922;0.8272439589;-1.7380565464;0.2252210544;0.275399641
буду;0.1260295517;0.7481649665;-1.6190956964;0.8850205737;-0.1401193955
глаза;0.2751389628;1.4528363305;-1.2710361729;-0.4448436753;-0.0120954452
пойду;0.9328221908;0.4810842154;-1.4185176539;-0.663351109;0.6679623567
ой;0.7562178977;0.2421560701;-1.1001106896;-0.9869361051;1.0886728269
те;-1.0002666132;1.5546931574;-0.7461904207;0.0358442303;0.1559196461
