;KIREEVSKY.n;PESENNIKI.n;RUSCORPORA.n;RUSSKIE_PESNI.n;SOBOLEVSKY.n
ту;0.767349676;-0.0935150358;-1.4030199154;-0.3996419295;1.1288272047
глядит;0.3040594099;-1.7013222435;0.874641368;0.4974106884;0.0252107772
ветер;-0.5393440227;-0.6234863469;-0.0573149813;1.7442486879;-0.5241033371
вкруг;-1.4035127492;-0.1459945288;1.3346492362;0.4271687492;-0.2123107074
дело;-0.3101719273;1.7672165133;-0.3161313487;-0.6928466373;-0.4480666
стала;1.0103044809;-0.8074475314;-0.7564972703;-0.6181006231;1.1717409439
собою;-0.2775758672;-0.9960474304;1.5085539679;0.4426729828;-0.6776036531
ныне;-0.7430134645;-0.1684725254;1.7287637133;-0.1884655383;-0.6288121852
рад;-0.5254802905;1.655851027;-0.1215643571;-0.9831540602;-0.0256523192
такой;-0.6376275026;-0.7301415861;-0.3441251027;1.7151942908;-0.0033000995
глаз;-0.8508678671;0.0010367758;0.8061978628;1.1674858236;-1.1238525951
жену;0.6676769002;-0.4746073598;-0.9371192387;-0.6705579932;1.4146076916
нему;-0.468627067;-0.8225753039;0.1970540504;1.6575578317;-0.5634095112
гор;0.7577763976;-0.8785698831;1.1665475212;-1.1337190682;0.0879650325
рано;0.9782265949;-0.5211834333;-1.3608450586;0.9574265906;-0.0536246936
святой;-0.8165830088;-0.1302777279;1.6467328534;0.0740806412;-0.7739527579
дома;0.1358121492;1.1105225709;-0.9145291112;-1.1294596796;0.7976540707
свое;0.9330429025;1.2011188313;-0.5036440844;-1.0430671091;-0.5874505403
жар;-0.2174422912;-0.6518450841;1.6908909148;-0.0038689973;-0.8177345421
каждый;-0.7712905454;-0.4197305236;1.6607386439;0.1897392807;-0.6594568555
печали;-0.6495857727;0.3918254457;1.5025120258;-0.1795071553;-1.0652445436
год;0.4812966048;-0.9538764387;-0.2607063287;-0.7562218327;1.4895079952
поет;0.2641433373;-1.2763646158;-0.2627568159;1.4798951102;-0.2049170158
жаль;1.4136720913;0.5248992814;-1.0765103271;-0.7437307428;-0.1183303028
будешь;1.4973016247;-1.2594071063;-0.1950977045;-0.2792769515;0.2364801376
прочь;-0.2646308057;1.778088751;-0.5466816068;-0.4503585869;-0.5164177516
мила;-0.27787294;1.5744610708;-1.1873405317;-0.1731858265;0.0639382273
вина;-0.0247977266;0.4327556059;-0.9712710424;-0.8824051352;1.4457182982
кем;0.6883666395;-0.6449509896;-1.32398837;1.1586063099;0.1219664101
лесу;1.357929155;-0.0167325604;-1.2456439787;-0.5952954211;0.4997428052
голову;1.2930993591;-0.8928410355;-0.9669641335;-0.183086566;0.7497923758
дитя;-0.0359087497;1.0230005333;0.5842265862;-1.6152190251;0.0439006553
скажу;-0.1020763017;1.6867980922;-0.954162853;-0.1828717883;-0.4476871492
твое;0.0753307399;0.8417736043;0.5713887151;0.2178999304;-1.7063929897
счастья;-0.8218906388;-0.3871921361;0.9084372524;1.2236647201;-0.9230191975
уста;-1.460106839;0.4631596398;1.1033136144;0.4108282837;-0.5171946989
слава;-0.1132739106;0.1403688781;1.6142241404;-0.9066299467;-0.7346891612
сердцем;-0.5552717233;-0.6077031812;0.6234937842;1.4504407165;-0.9109595962
чужой;0.0719936759;0.0113624623;-1.4824459964;1.3391993113;0.0598905469
молодцу;0.256842552;-0.3316762542;-1.568702255;0.7424244863;0.9011114709
моря;0.7402708425;-1.5792485622;-0.4145336057;0.6111091466;0.6424021788
печаль;-0.7192056719;0.7745855672;-0.9947252029;1.321757558;-0.3824122503
воду;0.4209884087;0.8880462501;-1.0498863;-1.1038181013;0.8446697425
месяц;-0.3570321563;-0.9139658925;-0.0865817566;1.7054803434;-0.347900538
девицу;-0.3300832817;1.1209450562;-1.5084477295;0.5842346042;0.1333513508
знает;-0.6320237341;-0.4132833796;1.4676613708;0.5590570531;-0.9814113102
девушки;0.8177921931;0.5150386973;-1.2939475758;-0.8533765421;0.8144932275
речь;-0.66685639;1.3667799839;-1.0048630567;0.714150793;-0.4092113302
матери;0.1563981882;0.6393949991;-1.2545149212;-0.7421567962;1.2008785302
поля;0.6528077545;-1.5718456417;-0.4121438792;0.8193086269;0.5118731395
вместе;-1.0858966486;0.43851443;1.0325963465;0.6699714502;-1.0551855781
цвет;-0.6089699424;-0.4176955483;-0.0532507989;1.7376101799;-0.6576938903
мимо;0.736984118;0.3266264846;-1.2241385309;-0.8785816435;1.0391095718
красной;0.5796715658;0.5888158531;-1.7565570277;0.4656029293;0.1224666795
мысли;0.4490207683;1.0412942548;0.0084846094;-1.6412558772;0.1424562447
всей;-0.5445428409;-0.2957137973;1.6090898025;0.2202751719;-0.9891083361
братцы;1.1246083606;-0.3342829914;-0.9953214214;-0.7952309124;1.0002269647
можно;-0.9191708593;1.4077810799;0.2757611487;0.2522831311;-1.0166545004
спать;1.2065685858;0.2488805012;-1.1639271129;-0.882317804;0.5907958299
младой;-0.1443605142;1.6992285975;-0.9432693217;-0.392398109;-0.2192006527
красная;1.4661664388;-0.7197752187;-1.1199221417;0.2511523002;0.1223786215
отца;0.5501881027;-1.005440395;-1.046010811;0.2682683097;1.2329947936
улице;0.4016100744;0.951477078;-1.203438335;-0.9332938338;0.7836450165
рукою;-0.7615828231;-0.0141005889;1.7120435918;-0.3095699962;-0.6267901836
милым;1.0707333753;0.5175727493;-1.6078113313;-0.0044069294;0.0239121361
слезами;-0.0831988177;-0.1501903693;-0.8364049011;1.6965161631;-0.6267220751
нее;-0.4388559847;-0.6873746512;1.5185647146;0.4937313975;-0.8860654762
речи;1.2046088312;-0.1574494241;-1.5466221236;0.1890858849;0.3103768316
боже;-0.0469979492;-0.419330628;1.500456518;-1.2367420081;0.2026140672
счастлив;-0.6887855588;-0.2929437237;1.7264069103;-0.0706724219;-0.6740052058
хотел;-0.6629199903;-0.7289616733;0.982929944;1.1993074878;-0.7903557682
судьба;-0.8827891382;0.4744977402;0.9212157205;0.7473682896;-1.2602926121
дал;-0.9977331479;-0.4545101942;1.5909414868;0.2892841991;-0.4279823438
стало;-1.0129711474;1.2697398296;-0.2774927362;0.8117462226;-0.7910221686
камень;0.0014764944;-1.3299754944;-0.5511041379;0.6560822926;1.2235208452
спит;-1.1694577805;0.1413964762;1.5118220271;0.0819695083;-0.5657302311
вокруг;-1.0003051085;-0.5905972989;1.6277481356;-0.0053514543;-0.0314942739
готов;-0.6186743058;-0.5211604588;1.6375797285;0.2707867755;-0.7685317394
лицо;-0.092339202;1.6845546526;-0.889608106;-0.1109726801;-0.5916346645
чему;-1.209344328;1.5287004603;0.198711294;-0.1431068146;-0.3749606117
верно;1.080421857;0.591022704;0.4088670694;-1.3161632918;-0.7641483385
новый;0.0294876664;-0.7302159983;1.4975484205;-1.0713894923;0.2745694037
назад;1.5181487317;-0.715656718;-0.5798633316;-0.7524214468;0.5297927648
ходит;0.3856460919;-0.1339368106;-1.5671036166;0.1515385222;1.1638558131
любит;-0.0074193696;-0.9215915056;-0.8503072947;0.2398110338;1.5395071362
очень;-0.0692911149;1.2027689886;0.0190817392;-1.5468426735;0.3942830607
плачет;1.6557994643;-0.3184337938;-1.0436692095;-0.2576494681;-0.0360469929
ай;0.158426245;1.3801260371;-1.0205901258;-0.9277137018;0.4097515455
ходить;0.2480439269;1.4428936982;-1.2683187009;-0.4929087175;0.0702897933
ответ;-1.3474449034;0.5458333356;0.801531832;0.7887111939;-0.7886314581
гроб;-0.7238371627;-0.5203401695;0.4283292583;1.5674575372;-0.7516094633
моим;-0.5377248247;-0.7073894919;0.5846226963;1.4814503603;-0.8209587399
богу;1.382172431;-1.1451387561;0.158041203;-0.7785871351;0.3835122572
нею;-1.0414505077;-0.2900668628;0.7752074425;1.2968686403;-0.7405587123
ума;-1.4081542287;1.0124943598;-0.2834737608;-0.243951918;0.9230855477
знал;-0.7275963886;-0.6210902299;1.5168830985;0.5362931925;-0.7044896726
дорогой;0.1343525476;0.8630159288;-1.7239619056;0.33942998;0.3871634492
тоска;-0.3154666755;-0.5258125072;-0.51446071;1.7824777576;-0.426737865
сколько;-0.3537746977;0.2611390708;1.1816847409;-1.4977446354;0.4086955214
соловей;0.6588645193;-0.8777456078;-1.0704651291;1.2843440266;0.005002191
руках;0.8335894811;-0.1478254307;-0.087750272;-1.5433472504;0.945333472
заря;1.4073476547;-1.0893420066;-0.7813623491;-0.0079356459;0.471292347
никогда;-0.4142493951;-0.9184982043;0.7427521035;1.3577842875;-0.7677887917
девицы;-0.3216331008;-0.468865104;-1.0708666859;1.5621975186;0.2991673721
после;-1.0375219439;0.5226795096;0.0826401597;1.3452879126;-0.913085638
хочет;0.1832471673;-0.1849597266;0.2880261461;-1.5230596123;1.2367460256
эту;0.5876849087;-0.747794797;-0.1350150559;-1.0840322173;1.3791571616
белый;0.6367014048;-0.6476975288;-1.4501797578;0.6828363759;0.7783395058
двора;0.8410811798;0.8129533994;-1.1324119758;-1.0396846117;0.5180620083
скорей;-0.7406132311;-0.1848055874;-0.1804805196;1.7305020131;-0.624602675
больше;-1.2560120117;0.1666088805;-0.0433746844;1.5021242214;-0.3693464058
голова;0.6859144723;0.6081177942;-1.0841286823;-1.095494403;0.8855908188
золотой;-0.343939124;-1.0281444245;-0.6026071284;1.4932049708;0.4814857061
беда;-0.6525304284;0.0940767436;-0.579936404;1.705210312;-0.5668202232
лица;0.1372092315;1.6501257329;-0.5789627975;-0.2935583924;-0.9148137744
царя;-0.2373255487;0.4201365475;1.4887065393;-0.5583337657;-1.1131837725
твою;-0.6827089922;-0.4379047462;-0.282591946;1.7687946152;-0.3655889308
леса;0.6608660771;-0.0473512553;-1.167362391;1.2880878093;-0.7342402402
стоят;0.7451692905;-0.5471242193;-0.4675897794;-1.0673945312;1.3369392395
красоты;-1.0085092883;0.0171074559;1.5011629452;0.2924758019;-0.8022369148
стану;1.4206339526;0.3692592427;-1.1846345661;-0.6624339318;0.0571753026
точно;-0.9387882847;-0.4473031681;1.5568021079;0.4047429101;-0.5754535652
иной;-0.8153719911;-0.577472282;1.5419507652;-0.6281621984;0.4790557064
вино;-0.2005052948;1.4538064735;-0.4857688122;-1.1948518935;0.427319527
сокол;0.3113652553;0.2375083104;-1.7588299624;0.7078407344;0.5021156623
видно;-0.3883931553;0.1116793699;-0.5347819215;1.6748861695;-0.8633904626
пор;0.2726931589;0.8837096749;0.94128224;-0.8777547498;-1.219930324
словно;-0.0653020105;-0.5604185128;-0.5687175498;1.7471942387;-0.5527561657
ворот;0.2362604446;1.162739004;-1.3660130914;-0.6188565221;0.5858701648
говорила;0.2914362837;1.3000633767;-1.1266464981;-0.8833964523;0.4185432899
плачь;1.3874891036;-0.6483228824;-1.236632986;0.2208614039;0.276605361
старый;-0.1975152183;0.3138905907;-0.4706797784;-1.1604118471;1.514716253
эти;-0.5484859708;-0.2082728111;1.4060096022;-1.1814098815;0.5321590613
мужа;0.7300238788;0.4099388447;-1.0840238253;-1.0581012479;1.0021623497
сне;-0.9632779632;0.403779995;0.2478462628;1.3388444744;-1.027192769
право;-0.8220360395;0.6717172699;1.325041381;-1.0496011736;-0.1251214378
родная;0.9693477694;-0.337647051;-1.5278119432;0.1235233539;0.7725878709
пути;1.3987000698;-1.1785219778;0.0965201124;-0.7039034323;0.3872052279
стали;0.708119593;0.9320270829;-1.1317247375;-1.0351862708;0.5267643324
шел;0.4098855081;1.1139732812;-0.8311347713;-1.2574984171;0.5647743991
взял;0.1091127932;1.4662971092;-1.3359701778;-0.0088479113;-0.2305918134
наших;-0.7219568616;1.1008862956;1.08452498;-0.8311852657;-0.6322691484
пока;-0.8653831338;0.6591233849;1.4294816724;-0.4995515879;-0.7236703356
коней;1.0549083773;-1.0124318388;-0.8333598028;-0.25836008;1.0492433443
тело;1.5631369467;-0.2689241718;-0.7601254582;-0.8850514789;0.3509641622
детей;0.2201169534;-0.6853410713;1.5124323727;-1.0919710408;0.0447627861
другу;-0.9130458036;0.7443366977;-0.9009740713;1.3185650456;-0.2488818684
стоял;0.0724376921;1.4028880389;-0.6434455417;-1.2117489415;0.3798687521
говорил;-0.9130854834;0.3126281062;0.604266499;-1.1645294597;1.1607203379
зеленый;0.823685074;0.3591643362;-1.3680066625;-0.714874173;0.9000314253
нашел;0.4610733821;0.7704321616;-0.8017079932;-1.32366993;0.8938723795
конец;-0.7240680165;-0.8631809857;1.6499689261;0.0246745898;-0.0873945138
всего;0.0491424801;0.287345814;1.0865216336;0.2163984559;-1.6394083835
нету;0.808115479;-0.2609593392;-1.3869633758;-0.2881020646;1.1279093006
придет;-0.3850476852;-0.6930474726;-0.2167026575;1.7623457108;-0.4675478955
эта;1.0125782856;-1.2294388675;0.3101210266;-0.8720517753;0.7787913306
весело;-0.6748413839;-0.2843071422;-0.1280792139;1.7386708124;-0.6514430724
совсем;-0.2799423261;-0.9560756238;1.3801608611;0.6669546278;-0.811097539
небеса;-0.8096503365;-0.3305130682;1.4990598124;0.5001265925;-0.8590230001
любезный;1.1511403639;0.598737869;-1.0652053352;-1.0305725756;0.3458996778
матушки;1.3361238603;-0.4803823312;-1.1509373978;-0.4072798231;0.7024756918
след;0.4881287245;-0.5596523467;1.5291800282;-0.5743177801;-0.8833386259
твоим;-0.9790057061;-0.6225382113;1.3620309605;0.7403136625;-0.5008007056
сказала;-0.4916870334;-0.9460984542;0.4777737176;1.5226138055;-0.5626020355
пришла;0.3901638574;0.579396083;-1.7783887074;0.2988114442;0.5100173228
боле;-0.9896426261;-0.4378408266;1.4904305469;0.5187711711;-0.5817182653
слезах;0.2690229019;0.9145925657;-1.4222354443;0.8403937946;-0.601773818
ворота;0.7910722961;-0.3289111333;-1.1488889907;-0.5813735139;1.2681013418
сюда;-1.0099156736;1.419445438;0.1580372116;-0.9079641848;0.3403972088
тучи;-0.6076583563;-0.5294620635;0.1047374611;1.7007893062;-0.6684063476
коль;-0.8736079352;0.4409631656;-0.0865044873;1.4637589292;-0.9446096723
одну;-0.1440893114;-1.2208787367;-0.4743357841;0.3847782624;1.4545255698
красавица;-0.2458428952;-0.141891777;-0.8291646839;1.7245795764;-0.5076802203
терем;0.1499214559;1.1466290518;-1.4758074861;-0.3944640157;0.5737209941
стороне;-0.5527777094;0.7984166032;-1.2956886609;1.1680086971;-0.1179589299
часы;-0.5032242219;0.2769013936;1.6208816255;-0.8849448424;-0.5096139547
чрез;-1.0637507118;-0.7854434535;1.2606606705;0.7887674254;-0.2002339306
против;1.0591649294;0.5485017815;-0.9898674176;-1.1475413939;0.5297421006
голосом;0.9216629405;-0.2878236775;-1.2577294768;-0.4915447869;1.1154350006
сладко;-0.5604709451;-0.6619370779;1.1857284095;0.9777894058;-0.9411097923
несет;-0.1071762727;0.972367369;-1.0302664331;-0.909415226;1.0744905629
сна;-1.2561142708;0.7889422084;1.2261400976;-0.3150194829;-0.4439485522
чистом;0.9751288327;0.4226809722;-1.5395179651;-0.4242764023;0.5659845626
белой;1.1108426793;0.1655530561;-1.6301134525;0.2737937531;0.079923964
высоко;1.0798158189;-0.7079507676;-0.7558178342;-0.7266728995;1.1106256824
довольно;-0.7530191452;-0.3655269343;1.7172801992;-0.0069122159;-0.5918219039
вон;0.0018106633;1.7036993019;-0.7920309922;-0.6193285401;-0.294150433
моему;0.8784458308;0.9570353594;-1.3130381304;-0.7365496986;0.2141066388
новой;1.4595987904;-0.7908236221;-0.0785807869;-1.0244221271;0.4342277457
руке;-0.1914597884;-0.6075395814;-1.2274998027;1.1438895356;0.8826096369
своем;0.9314373371;0.9849226783;0.1471790751;-0.9556336945;-1.107905396
красну;0.2299969404;1.474933835;-1.2170120704;-0.5368081863;0.0488894813
река;0.7482838902;0.7978145726;-1.1832352632;-0.9992587785;0.6363955789
трава;0.0957864952;1.333182631;-1.3620252164;-0.4554290535;0.3884851436
воля;1.3239222966;-0.4762997863;-0.9981684031;-0.6363084166;0.7868543094
третий;1.2810707232;-0.1237880264;-0.8477468686;-1.0427300076;0.7331941794
года;0.495683559;-0.847025105;-0.2817637354;-0.8575521948;1.4906574762
идти;-0.7353533386;1.4708064486;-0.7002924077;-0.6519919937;0.6168312913
дела;-0.408102589;0.1611433988;1.6436881217;-0.9536570295;-0.4430719021
очах;-0.9294933583;-0.2066512243;0.417307458;1.5128543967;-0.794017272
молодые;0.7578806225;-0.3455422409;-0.9467257591;-0.7974994417;1.3318868192
прекрасный;-0.946469991;1.362935272;0.7076421962;-0.3232696179;-0.8008378593
жены;1.2500668923;-0.4733871261;-0.4270213846;-1.1672403049;0.8175819233
ноги;-0.0217056479;1.1703248784;-0.975065419;-0.9989324599;0.8253786484
тихий;-1.0727405233;-0.5891130776;1.5559274384;-0.1415275123;0.2474536748
вечер;1.4917341652;-0.4606357348;0.1780562475;0.0278040157;-1.2369586936
дает;-0.1770346406;1.4215810963;-1.2084128481;-0.5114487515;0.4753151438
большой;1.5786131966;-0.3305220351;-0.7370326791;-0.8575790745;0.3465205922
возьми;0.2337989566;-0.1763397216;-0.8117967383;-0.8415838631;1.5959213664
сударь;0.4356153111;0.9325418327;-1.2847507269;-0.8437450669;0.76033865
знаешь;-1.0065315633;-0.81686966;1.505040236;0.202741942;0.1156190453
порою;-0.9812745607;-0.5339081711;1.5840747617;0.3122356796;-0.3811277095
хочешь;-0.6126006138;-1.2338519958;1.3743623401;0.010187561;0.4619027084
ваня;1.3592675901;-0.5483975392;-0.8601622775;-0.7205242538;0.7698164804
реку;1.0259199528;0.2496550655;-1.0132485741;-1.0861711656;0.8238447214
грустно;-0.3553955381;-0.480833186;-0.1935113253;1.75480239;-0.7250623406
батюшки;1.3269790347;-0.0529394886;-1.1589700511;-0.723301966;0.608232471
солнца;-0.6839532206;-0.6233708664;0.1072667981;1.6982184825;-0.4981611935
сидел;1.2866758509;-1.2038601153;-0.2701790944;-0.5406040686;0.7279674274
вечера;0.9529753339;-0.6758689944;-1.3744500073;0.2804883799;0.8168552879
звезда;-0.0315894316;-0.9347635071;0.398385733;1.4683008593;-0.9003336536
любила;-0.3470338351;1.7391230397;-0.8285606697;-0.351490811;-0.2120377239
платье;0.5792590722;0.8363566791;-1.0853018825;-1.0958912226;0.7655773538
цветок;-0.3264640342;-0.4644682028;-0.6933027402;1.7657251038;-0.2814901265
краса;-0.5364434065;-0.5831349837;0.1257670224;1.6932614423;-0.6994500744
сердечный;-0.3657090442;0.8547228699;-1.5116301335;0.9161587397;0.106457568
парень;1.5330805021;-0.1046687668;-1.0809903167;-0.6263793173;0.2789578987
хорошо;0.7821414605;1.0349559434;-1.0066674421;-1.1035498686;0.2931199068
выше;1.4428514344;-0.7647518485;-0.2265571127;-0.9939056392;0.5423631659
матушке;0.864001509;0.6956923038;-1.2587649477;-0.9053635405;0.6044346754
поди;0.39936018;0.9321358493;-1.1631651914;-0.9798532293;0.8115223913
равно;0.14424777;-0.3712409978;1.6306195652;-0.3876722064;-1.015954131
сами;0.7041118396;0.1880650274;-0.4026900248;-1.5070627393;1.0175758972
велит;0.5116708621;-0.0506228227;-1.5332765898;-0.1002253062;1.1724538566
любишь;1.2774060931;0.3706936175;-1.1952579626;-0.8178790271;0.3650372791
бела;1.5766599238;-0.2083191202;-1.0331549448;-0.5842238866;0.2490380278
пойдем;0.5614781436;0.1025427806;-1.0166722371;-0.9591089213;1.3117602342
хороша;1.1473183116;0.0954979871;-1.3116333946;-0.6554431637;0.7242602596
брата;1.5434414482;0.0741085404;-0.576454954;-1.1280245419;0.0869295073
жене;0.7604049503;-0.3618456127;-1.044830628;-0.6744483695;1.3207196598
пошли;1.2833805252;0.3815250281;-1.1834653358;-0.8284660308;0.3470258134
белы;1.3134431812;0.311250114;-1.0273283996;-0.9857648033;0.3883999077
завтра;-0.6446830687;-0.4107067393;0.7652911896;1.3257174476;-1.0356188293
моем;-0.1019793709;-0.839859694;-0.566984344;1.7095270421;-0.2007036332
зовет;-0.9587553059;-0.1852753507;1.7004745406;-0.274175535;-0.282268349
грусть;-0.2821099357;-0.4117975155;-0.5181487866;1.7781668615;-0.5661106236
кажется;-1.1055840221;0.5697129013;0.7321768047;0.875951964;-1.0722576479
кипит;-0.9870377567;0.7762309195;0.3474985711;1.0024305931;-1.1391223269
гулял;1.5017305852;-0.2441133328;-0.90484277;-0.8105199458;0.4577454633
муки;-0.9001185022;-0.317923165;1.6698301719;0.0890043932;-0.5407928979
сестра;1.5424478032;-0.3319241023;-0.79646241;-0.8357616761;0.4217003852
стояла;-0.068864034;1.568887298;-0.9927936212;-0.7116378893;0.2044082465
девки;1.0289230015;0.6479670354;-1.2383088047;-0.8870745384;0.4484933061
злодей;0.5039600728;-0.4070579014;-0.7152983636;1.5086707793;-0.8902745872
лице;0.6249473148;0.8002681372;-1.5924630306;-0.3741356356;0.5413832142
взять;0.2555659126;-0.2669294338;-1.2035825661;-0.3081624599;1.5231085472
играет;-0.2235085531;1.4431930876;-0.2423749182;-1.3044136557;0.3271040393
чисто;0.4595313785;0.0423988907;-1.4450348834;-0.3203391864;1.2634438007
слышу;0.0315607667;-0.975364525;1.5316263665;0.2203945024;-0.8082171106
туман;0.6832219493;-1.3748287766;1.1913340987;-0.0274754665;-0.4722518048
белая;1.3991565486;-0.6119555861;-1.2075407771;-0.0361772105;0.456517025
вечор;0.0429608951;0.9845682841;-1.4601034352;-0.4174783534;0.8500526093
поздно;0.2475060727;-0.029839141;-1.2565246486;1.4732064791;-0.4343487622
братья;0.0316326759;-0.1516200152;0.4358756509;-1.5247159818;1.2088276703
круг;-1.4859021564;0.1267682743;0.6421149744;-0.3853503746;1.1023692824
ходил;0.5940508833;0.8042587508;-1.3335021227;-0.8134106352;0.7486031238
шла;0.8184388145;-0.1334496502;-1.3088154731;-0.5261714247;1.1499977335
всему;0.5602283682;0.8197251786;0.1934685339;-1.7191637768;0.1457416962
гуляла;1.2433176402;0.4709994432;-1.0581516467;-0.9979182663;0.3417528295
реке;0.6398097799;0.6706471816;-0.8476919969;-1.3073049646;0.84454
старого;-0.1788882078;1.4057205914;-0.9958670991;-0.8131662624;0.582200978
утра;-0.8605642803;-0.6024623085;0.9443881801;1.226300681;-0.7076622722
четыре;1.23670002;-0.2496328269;-0.8455253226;-0.988192973;0.8466511025
бьет;1.4716959127;-0.3445336845;-0.2598635273;-1.23107493;0.3637762291
тоски;-0.3922262511;-0.2371656031;-0.6686819966;1.7671329792;-0.4690591284
берет;0.6816269339;-0.0028992925;-0.7305327965;-1.1989150136;1.2507201688
плакать;1.3619990954;-1.0639500447;-0.878342236;0.4813449091;0.0989482762
рук;0.9258945869;0.1223352336;0.9154549474;-1.4070873781;-0.5565973899
ходила;0.6523708523;1.1209107275;-1.2479437678;-0.8206195561;0.2952817441
братец;0.9858273069;-0.6614921105;-0.7123019773;-0.8079995161;1.1959662971
берег;-0.7844467912;-0.0760516469;1.7292917998;-0.5085866298;-0.3602067319
другом;-0.7441158959;1.7303016179;-0.5765284797;-0.0705653935;-0.3390918488
милому;0.2166275897;0.9323945444;-1.7076678961;0.2033600155;0.3552857465
говорить;-0.397664629;1.7796800827;-0.4641396593;-0.5966478024;-0.3212279919
хозяин;-0.3647669485;1.000918297;-0.5829984326;-1.1499214289;1.096768513
ночью;-1.0378440303;-0.4978449133;1.0845219249;1.0613665453;-0.6101995265
одним;-1.249388892;0.9200379556;0.3114395328;0.873652922;-0.8557415183
вода;0.8232281258;0.9336519875;-1.0667938024;-1.0779929641;0.3879066532
девушку;1.4492051396;-0.1122406764;-1.0763581214;-0.7196680222;0.4590616803
свету;0.3176260168;-0.0265591563;-1.3361615985;1.4076939675;-0.3625992295
гуляет;0.5547498328;1.0430068914;-1.0403528035;-1.1053535575;0.5479496369
венок;0.6700934397;-1.1535947691;-0.4827987522;-0.3886960844;1.3549961659
орел;0.3987183843;1.5016930949;-1.137633782;-0.3611902182;-0.401587479
больно;1.349341634;-0.1398765698;-1.1997920239;-0.604904856;0.5952318156
девице;-0.5976290349;0.8603345219;-1.3076686893;1.0911170727;-0.0461538705
казак;0.0306361474;-0.5594951696;-0.6284120523;-0.5662414658;1.7235125403
суд;-0.8618688471;-0.1602853356;1.5913315816;0.2336646378;-0.8028420368
будут;-1.4180186989;-0.0369873485;0.5120016125;1.2718398251;-0.3288353901
гляжу;-0.3247000951;0.770921482;-0.2218023054;-1.3822236533;1.1578045718
лета;-0.849542387;-0.1249298849;0.5885453969;1.3849816412;-0.9990547662
широкой;0.3489183354;0.0881446602;-1.6084377634;0.039173408;1.1322013599
глубоко;-0.6396714375;-0.6250413696;1.2750405067;0.8820683955;-0.892396095
одни;-0.8565998104;0.7692897173;0.6729369304;0.7196357374;-1.3052625747
одного;0.1694254031;1.4399601057;-1.0264114023;-0.8721591447;0.2891850382
постой;-0.010419524;1.4127225384;-1.3495239456;0.2748568501;-0.3276359189
отчего;0.2412707004;-1.0546386241;-0.7130086117;1.5235276253;0.0028489101
цветов;-1.0135891007;0.5358282029;0.3585015724;1.1887643981;-1.0695050726
гость;1.1227021865;-0.9926353916;0.8445956798;-1.0192567244;0.0445942496
окно;1.0194786634;-0.7960139418;0.1180338003;-1.2325360713;0.8910375494
сторону;1.2575713952;-0.775054916;-1.2067264795;0.1391978393;0.585012161
темной;-0.1338300897;1.0741719169;-1.0768397873;0.9791124238;-0.8426144636
глазах;-0.8007667798;-0.0419490963;0.5197874562;1.3932702937;-1.0703418738
окна;-0.0981308481;1.4448851145;-0.8955197114;0.481105963;-0.932340518
ясный;-0.6949525035;-0.1649819172;-0.3388696577;1.7518827832;-0.5530787049
ведет;1.441288393;-0.6812389947;-0.6755385706;-0.7488945721;0.6643837444
кричит;1.369524142;-0.8022716277;-0.9830990305;-0.2545786302;0.6704251464
доброго;0.4042607979;0.1836916458;-1.0338565148;-0.9247752998;1.370679371
зеленом;0.8889659802;0.9216078398;-1.3365904859;-0.717394752;0.2434114179
реки;-0.1710761461;-1.0787403423;-0.0781385649;1.6435729225;-0.3156178692
пить;0.9746583128;-0.2887316565;-0.4448684365;-1.2909377448;1.049879525
рекой;-0.6620518236;1.0138471927;-1.2957825472;0.9243170059;0.0196701722
сидела;0.9998457737;0.7377373407;-1.4920130606;-0.4388520658;0.1932820121
бел;0.8149452886;-0.1160491574;-1.2747971746;-0.5871088842;1.1630099275
ваши;1.0268140171;-0.5787725478;1.0789870558;-1.1380501001;-0.3889784251
места;-0.5772737053;0.6135904191;1.4570089602;-0.5848358117;-0.9084898623
плывет;0.4680191343;0.7445592548;-1.7528484432;0.3340336787;0.2062363755
зло;-0.3173669551;-1.1416523771;0.6854930594;1.3424921471;-0.5689658743
правду;0.060517159;-0.5123322528;-0.6708919257;-0.5904975731;1.7132045927
тоску;-0.1315880653;-0.0240723856;-0.9483416776;1.6640583501;-0.5600562215
ходи;0.1774602009;1.2728466669;-1.4702956766;-0.295292417;0.3152812259
гостей;-1.005549969;0.6555386043;-0.8495450615;1.3474224389;-0.1478660128
темный;0.2850992321;-1.7308395757;0.4338714118;0.8396476823;0.1722212494
красота;-0.8076620814;1.6152786249;-0.7532218864;0.2641223643;-0.3185170213
надежда;-1.5897429196;1.0257498109;0.3815215565;0.4506437222;-0.26817217
жила;0.0923246834;1.410142115;-1.1973578033;-0.6638097712;0.3587007761
нынче;0.0080619495;-1.2403112229;0.9638074619;0.9992664966;-0.7308246852
дверь;-0.8264064748;0.6564842435;1.4058045895;-0.3476712853;-0.888211073
денег;0.6393550883;-0.3803367877;-0.8453006378;-0.8382677631;1.4245501003
поют;0.5286891997;1.4471589043;-0.9380912492;-0.841162463;-0.1965943917
головушка;0.8187486468;0.0897900725;-1.4026755609;-0.5377895467;1.0319263882
другая;1.6334445255;-0.036321199;-0.9102094891;-0.708239819;0.0213259816
другую;1.1001574344;-0.4163918889;-1.4529700375;0.0610966748;0.7081078173
золотые;0.0873033988;0.3591250514;-0.7523626152;-1.1218976069;1.4278317719
